va,vb,ca,cb,n
0,0,0,3,5
0,0,3,2,294
0,0,3,1,2
0,0,3,0,19
0,0,1,3,58
0,0,0,0,63
0,0,2,0,90
0,0,3,3,78
0,0,2,1,302
0,0,0,2,4
0,0,0,1,45
0,0,2,2,7
0,0,1,2,42
0,0,1,1,5
0,0,2,3,10
1,1,0,0,2
1,1,2,2,78
1,1,0,3,105
1,1,0,1,130
1,1,1,0,84
1,1,3,3,93
1,1,3,2,45
1,1,3,1,79
1,1,3,0,52
1,1,2,1,71
1,1,2,0,107
1,1,2,3,24
1,1,1,2,153
1,1,1,1,1
2,2,2,2,2
2,2,3,2,68
2,2,3,1,5
2,2,3,0,243
2,2,2,3,220
2,2,1,0,26
2,2,0,3,26
2,2,1,1,146
2,2,1,2,12
2,2,0,2,136
2,2,2,1,77
2,2,1,3,34
2,2,2,0,3
2,2,0,0,23
2,2,0,1,3
3,3,1,3,1
3,3,0,3,33
3,3,2,3,264
3,3,1,2,4
3,3,1,1,83
3,3,3,0,299
3,3,3,1,100
3,3,3,2,5
3,3,2,2,109
3,3,0,2,75
3,3,2,1,20
3,3,1,0,22
3,3,3,3,7
3,3,0,0,2
4,4,2,3,1
4,4,3,1,3
4,4,3,0,5
4,4,0,3,15
4,4,0,1,295
4,4,0,0,73
4,4,2,0,84
4,4,3,2,46
4,4,0,2,1
4,4,2,1,45
4,4,1,3,67
4,4,3,3,68
4,4,1,0,10
4,4,2,2,8
4,4,1,2,292
4,4,1,1,11
5,5,0,3,5
5,5,3,2,294
5,5,3,1,2
5,5,3,0,19
5,5,1,3,58
5,5,0,0,63
5,5,2,0,90
5,5,3,3,78
5,5,2,1,302
5,5,0,2,4
5,5,0,1,45
5,5,2,2,7
5,5,1,2,42
5,5,1,1,5
5,5,2,3,10
6,6,2,0,7
6,6,2,2,7
6,6,3,2,94
6,6,3,1,4
6,6,3,0,74
6,6,0,3,77
6,6,0,1,81
6,6,0,0,95
6,6,1,2,131
6,6,1,1,71
6,6,2,3,46
6,6,0,2,53
6,6,2,1,136
6,6,1,3,78
6,6,3,3,12
6,6,1,0,58
7,7,3,2,3
7,7,1,2,323
7,7,0,3,22
7,7,0,1,333
7,7,2,0,150
7,7,0,0,9
7,7,3,1,14
7,7,3,0,2
7,7,3,3,117
7,7,1,0,16
7,7,1,3,19
7,7,0,2,4
7,7,2,1,2
7,7,2,2,10
8,8,0,3,5
8,8,3,2,294
8,8,3,1,2
8,8,3,0,19
8,8,1,3,58
8,8,0,0,63
8,8,2,0,90
8,8,3,3,78
8,8,2,1,302
8,8,0,2,4
8,8,0,1,45
8,8,2,2,7
8,8,1,2,42
8,8,1,1,5
8,8,2,3,10
9,9,0,0,3
9,9,1,3,3
9,9,0,1,12
9,9,3,2,25
9,9,3,0,213
9,9,3,1,119
9,9,0,3,78
9,9,1,0,70
9,9,3,3,24
9,9,2,2,131
9,9,1,2,20
9,9,1,1,40
9,9,2,3,182
9,9,0,2,35
9,9,2,1,55
9,9,2,0,14
10,10,0,3,5
10,10,3,2,294
10,10,3,1,2
10,10,3,0,19
10,10,1,3,58
10,10,0,0,63
10,10,2,0,90
10,10,3,3,78
10,10,2,1,302
10,10,0,2,4
10,10,0,1,45
10,10,2,2,7
10,10,1,2,42
10,10,1,1,5
10,10,2,3,10
11,11,2,3,1
11,11,3,1,3
11,11,3,0,5
11,11,0,3,15
11,11,0,1,295
11,11,0,0,73
11,11,2,0,84
11,11,3,2,46
11,11,0,2,1
11,11,2,1,45
11,11,1,3,67
11,11,3,3,68
11,11,1,0,10
11,11,2,2,8
11,11,1,2,292
11,11,1,1,11
12,12,0,1,2
12,12,3,3,1
12,12,1,0,2
12,12,2,2,64
12,12,0,3,3
12,12,0,2,125
12,12,3,2,1
12,12,3,1,67
12,12,3,0,325
12,12,1,1,130
12,12,2,3,304
13,13,0,1,8
13,13,0,3,271
13,13,2,1,4
13,13,0,2,87
13,13,1,0,281
13,13,3,3,3
13,13,2,2,89
13,13,1,2,17
13,13,1,1,99
13,13,2,3,30
13,13,3,0,36
13,13,3,1,92
13,13,2,0,3
13,13,0,0,3
13,13,1,3,1
0,1,0,0,6
0,1,2,3,48
0,1,2,2,172
0,1,0,3,48
0,1,1,1,17
0,1,1,2,33
0,1,0,1,28
0,1,1,0,42
0,1,3,3,104
0,1,3,2,45
0,1,3,1,212
0,1,3,0,50
0,1,0,2,26
0,1,2,1,24
0,1,1,3,22
0,1,2,0,147
0,2,0,3,16
0,2,3,2,66
0,2,3,1,72
0,2,3,0,25
0,2,3,3,223
0,2,1,0,10
0,2,2,0,240
0,2,0,0,20
0,2,2,2,83
0,2,0,1,57
0,2,2,3,11
0,2,1,1,12
0,2,1,2,64
0,2,0,2,5
0,2,2,1,90
0,2,1,3,30
0,4,1,3,1
0,4,0,0,2
0,4,2,2,301
0,4,3,1,294
0,4,3,0,102
0,4,1,0,61
0,4,3,3,13
0,4,0,3,62
0,4,2,3,75
0,4,1,2,11
0,4,1,1,48
0,4,0,2,35
0,4,2,1,10
0,4,0,1,2
0,4,2,0,7
0,3,0,3,2
0,3,1,3,32
0,3,3,3,264
0,3,1,0,3
0,3,2,0,298
0,3,0,0,21
0,3,3,2,104
0,3,3,0,1
0,3,3,1,19
0,3,0,1,82
0,3,1,1,1
0,3,1,2,75
0,3,2,1,101
0,3,0,2,4
0,3,2,2,10
0,3,2,3,7
1,2,1,3,3
1,2,3,2,23
1,2,3,0,56
1,2,3,1,165
1,2,0,3,180
1,2,1,2,54
1,2,1,0,193
1,2,3,3,24
1,2,2,2,139
1,2,0,1,49
1,2,2,3,73
1,2,2,0,46
1,2,0,2,2
1,2,2,1,17
1,5,2,1,1
1,5,0,2,243
1,5,0,3,2
1,5,2,2,90
1,5,1,1,237
1,5,2,3,140
1,5,3,0,163
1,5,3,1,115
1,5,3,2,14
1,5,2,0,6
1,5,0,0,3
1,5,1,3,8
1,5,3,3,1
1,5,0,1,1
1,6,1,3,1
1,6,2,2,50
1,6,0,3,88
1,6,1,2,172
1,6,0,1,145
1,6,1,0,73
1,6,3,3,91
1,6,3,2,61
1,6,3,1,82
1,6,3,0,25
1,6,0,2,2
1,6,2,1,65
1,6,2,0,136
1,6,2,3,33
2,7,0,3,1
2,7,3,2,287
2,7,3,1,1
2,7,3,0,24
2,7,1,3,138
2,7,0,0,141
2,7,2,3,16
2,7,1,1,10
2,7,1,2,40
2,7,2,1,293
2,7,0,2,9
2,7,0,1,45
2,7,2,2,4
2,7,3,3,3
2,7,1,0,12
2,8,3,2,2
2,8,0,0,2
2,8,2,2,299
2,8,3,1,303
2,8,3,0,5
2,8,1,0,152
2,8,3,3,11
2,8,2,3,2
2,8,0,3,138
2,8,1,1,44
2,8,1,2,12
2,8,2,0,13
2,8,0,1,6
2,8,0,2,34
2,8,2,1,1
3,4,0,3,2
3,4,3,2,301
3,4,3,1,13
3,4,3,0,7
3,4,1,3,61
3,4,0,0,59
3,4,2,0,102
3,4,3,3,75
3,4,1,0,4
3,4,1,1,1
3,4,1,2,42
3,4,2,1,291
3,4,0,2,4
3,4,0,1,49
3,4,2,3,13
3,10,1,3,3
3,10,2,2,288
3,10,3,1,303
3,10,3,0,99
3,10,3,2,13
3,10,1,0,63
3,10,3,3,7
3,10,2,3,81
3,10,2,1,1
3,10,0,2,41
3,10,0,3,60
3,10,1,1,45
3,10,1,2,5
3,10,2,0,10
3,10,0,1,5
3,11,0,3,2
3,11,3,2,301
3,11,3,1,13
3,11,3,0,7
3,11,1,3,61
3,11,0,0,59
3,11,2,0,102
3,11,3,3,75
3,11,1,0,4
3,11,1,1,1
3,11,1,2,42
3,11,2,1,291
3,11,0,2,4
3,11,0,1,49
3,11,2,3,13
