va,vb,win_rate
0,0,0.1494140625
0,1,0.7080078125
0,2,0.669921875
0,3,0.7109375
0,4,0.64453125
0,13,0.818359375
1,0,0.6767578125
1,1,0.169921875
1,2,0.8408203125
1,5,0.6767578125
1,6,0.8623046875
1,13,0.669921875
2,0,0.65234375
2,1,0.8681640625
2,2,0.1669921875
2,7,0.845703125
2,8,0.65234375
2,13,0.7080078125
3,0,0.66796875
3,3,0.1962890625
3,4,0.8681640625
3,10,0.66796875
3,11,0.8681640625
3,13,0.693359375
4,0,0.6435546875
4,3,0.8232421875
4,4,0.15625
4,9,0.84375
4,12,0.80859375
4,13,0.6826171875
5,1,0.7080078125
5,5,0.1494140625
5,6,0.6640625
5,11,0.64453125
5,12,0.7060546875
5,13,0.818359375
6,1,0.87109375
6,5,0.6767578125
6,6,0.1806640625
6,9,0.8408203125
6,10,0.6767578125
6,13,0.7119140625
7,2,0.8291015625
7,7,0.1328125
7,8,0.658203125
7,10,0.658203125
7,12,0.810546875
7,13,0.6826171875
8,2,0.669921875
8,7,0.66796875
8,8,0.1494140625
8,9,0.7099609375
8,11,0.64453125
8,13,0.818359375
9,4,0.87109375
9,6,0.8828125
9,8,0.6748046875
9,9,0.193359375
9,13,0.705078125
10,3,0.7109375
10,6,0.6640625
10,7,0.66796875
10,10,0.1494140625
10,13,0.818359375
11,3,0.8232421875
11,5,0.6435546875
11,8,0.6435546875
11,11,0.15625
11,13,0.6826171875
12,4,0.8583984375
12,5,0.66015625
12,7,0.8525390625
12,12,0.1904296875
12,13,0.6884765625
13,0,0.8662109375
13,1,0.66015625
13,2,0.6796875
13,3,0.6708984375
13,4,0.662109375
13,5,0.8662109375
13,6,0.7021484375
13,7,0.65234375
13,8,0.8662109375
13,9,0.6474609375
13,10,0.8662109375
13,11,0.662109375
13,12,0.6845703125
13,13,0.189453125
