va,vb,ca,cb,n
0,0,2,2,519
0,0,3,3,505
1,1,0,0,519
1,1,1,1,505
2,2,2,2,519
2,2,3,3,505
3,3,2,2,519
3,3,3,3,505
4,4,0,0,519
4,4,1,1,505
5,5,2,2,519
5,5,3,3,505
6,6,2,2,519
6,6,3,3,505
7,7,2,2,519
7,7,3,3,505
8,8,0,0,519
8,8,1,1,505
9,9,2,2,519
9,9,3,3,505
10,10,0,0,519
10,10,1,1,505
11,11,2,2,519
11,11,3,3,505
12,12,2,2,519
12,12,3,3,505
13,13,0,0,519
13,13,1,1,505
0,1,2,0,222
0,1,2,1,297
0,1,3,1,185
0,1,3,0,320
0,2,2,2,37
0,2,3,3,28
0,2,2,3,482
0,2,3,2,477
0,4,2,0,222
0,4,2,1,297
0,4,3,1,185
0,4,3,0,320
0,3,2,2,37
0,3,3,3,28
0,3,2,3,482
0,3,3,2,477
1,2,1,3,186
1,2,0,2,223
1,2,0,3,296
1,2,1,2,319
1,5,0,2,519
1,5,1,3,505
1,6,0,3,519
1,6,1,2,505
2,7,2,2,37
2,7,3,3,28
2,7,2,3,482
2,7,3,2,477
2,8,2,0,223
2,8,2,1,296
2,8,3,1,186
2,8,3,0,319
3,4,2,0,430
3,4,2,1,89
3,4,3,0,109
3,4,3,1,396
3,10,2,0,430
3,10,2,1,89
3,10,3,0,109
3,10,3,1,396
3,11,2,2,37
3,11,3,3,28
3,11,2,3,482
3,11,3,2,477
4,12,1,3,28
4,12,0,2,37
4,12,0,3,482
4,12,1,2,477
4,9,0,2,519
4,9,1,3,505
5,6,2,3,519
5,6,3,2,505
5,11,2,2,37
5,11,3,3,28
5,11,2,3,482
5,11,3,2,477
5,12,2,2,37
5,12,3,3,28
5,12,2,3,482
5,12,3,2,477
6,9,2,3,519
6,9,3,2,505
6,10,2,1,519
6,10,3,0,505
7,8,2,0,429
7,8,2,1,90
7,8,3,0,109
7,8,3,1,396
7,10,2,0,429
7,10,2,1,90
7,10,3,0,109
7,10,3,1,396
7,12,2,2,37
7,12,3,3,28
7,12,2,3,482
7,12,3,2,477
8,9,0,2,519
8,9,1,3,505
8,11,1,3,28
8,11,0,2,36
8,11,0,3,483
8,11,1,2,477
13,0,0,2,330
13,0,0,3,189
13,0,1,2,199
13,0,1,3,306
13,1,0,1,519
13,1,1,0,505
13,2,0,2,330
13,2,0,3,189
13,2,1,2,200
13,2,1,3,305
13,3,1,3,84
13,3,0,2,124
13,3,0,3,395
13,3,1,2,421
13,4,0,1,519
13,4,1,0,505
13,5,0,3,519
13,5,1,2,505
13,6,0,2,519
13,6,1,3,505
13,7,1,3,85
13,7,0,2,125
13,7,0,3,394
13,7,1,2,420
13,8,0,1,519
13,8,1,0,505
13,9,0,3,519
13,9,1,2,505
13,10,0,1,519
13,10,1,0,505
13,11,1,2,28
13,11,0,2,495
13,11,0,3,24
13,11,1,3,477
13,12,1,2,28
13,12,0,2,495
13,12,0,3,24
13,12,1,3,477
1,0,1,3,185
1,0,0,2,222
1,0,0,3,297
1,0,1,2,320
2,0,2,2,37
2,0,3,3,28
2,0,2,3,482
2,0,3,2,477
4,0,1,3,185
4,0,0,2,222
4,0,0,3,297
4,0,1,2,320
3,0,2,2,37
3,0,3,3,28
3,0,2,3,482
3,0,3,2,477
2,1,2,0,223
2,1,2,1,296
2,1,3,1,186
2,1,3,0,319
5,1,2,0,519
5,1,3,1,505
6,1,2,1,519
6,1,3,0,505
7,2,2,2,37
7,2,3,3,28
7,2,2,3,482
7,2,3,2,477
8,2,1,3,186
8,2,0,2,223
8,2,0,3,296
8,2,1,2,319
4,3,0,2,430
4,3,0,3,89
4,3,1,2,109
4,3,1,3,396
10,3,0,2,430
10,3,0,3,89
10,3,1,2,109
10,3,1,3,396
11,3,2,2,37
11,3,3,3,28
11,3,2,3,482
11,3,3,2,477
12,4,2,0,37
12,4,2,1,482
12,4,3,1,28
12,4,3,0,477
9,4,2,0,519
9,4,3,1,505
6,5,2,3,519
6,5,3,2,505
11,5,2,2,37
11,5,3,3,28
11,5,2,3,482
11,5,3,2,477
12,5,2,2,37
12,5,3,3,28
12,5,2,3,482
12,5,3,2,477
9,6,2,3,519
9,6,3,2,505
10,6,0,3,519
10,6,1,2,505
8,7,0,2,429
8,7,0,3,90
8,7,1,2,109
8,7,1,3,396
10,7,0,2,429
10,7,0,3,90
10,7,1,2,109
10,7,1,3,396
12,7,2,2,37
12,7,3,3,28
12,7,2,3,482
12,7,3,2,477
9,8,2,0,519
9,8,3,1,505
11,8,2,0,36
11,8,2,1,483
11,8,3,1,28
11,8,3,0,477
0,13,2,0,330
0,13,2,1,189
0,13,3,0,199
0,13,3,1,306
1,13,0,1,519
1,13,1,0,505
2,13,2,0,330
2,13,2,1,189
2,13,3,0,200
2,13,3,1,305
3,13,2,0,124
3,13,2,1,395
3,13,3,1,84
3,13,3,0,421
4,13,0,1,519
4,13,1,0,505
5,13,2,1,519
5,13,3,0,505
6,13,2,0,519
6,13,3,1,505
7,13,2,0,125
7,13,2,1,394
7,13,3,1,85
7,13,3,0,420
8,13,0,1,519
8,13,1,0,505
9,13,2,1,519
9,13,3,0,505
10,13,0,1,519
10,13,1,0,505
11,13,2,0,495
11,13,2,1,24
11,13,3,0,28
11,13,3,1,477
12,13,2,0,495
12,13,2,1,24
12,13,3,0,28
12,13,3,1,477
