va,vb,ca,cb,n
0,0,0,0,2489
0,0,2,2,2425
0,0,1,1,2597
0,0,3,3,2489
1,1,0,0,2522
1,1,3,3,2492
1,1,2,2,2519
1,1,1,1,2467
2,2,3,3,2523
2,2,0,0,2496
2,2,2,2,2479
2,2,1,1,2502
3,3,2,2,2490
3,3,0,0,2491
3,3,1,1,2574
3,3,3,3,2445
4,4,3,3,2527
4,4,1,1,2423
4,4,2,2,2563
4,4,0,0,2487
5,5,1,1,2490
5,5,0,0,2598
5,5,3,3,2461
5,5,2,2,2451
6,6,0,0,2456
6,6,3,3,2512
6,6,2,2,2525
6,6,1,1,2507
7,7,1,1,2484
7,7,3,3,2431
7,7,2,2,2603
7,7,0,0,2482
8,8,2,2,2498
8,8,0,0,2506
8,8,1,1,2435
8,8,3,3,2561
9,9,2,2,2566
9,9,0,0,2511
9,9,1,1,2488
9,9,3,3,2435
10,10,3,3,2498
10,10,0,0,2502
10,10,2,2,2520
10,10,1,1,2480
11,11,3,3,2513
11,11,1,1,2471
11,11,2,2,2521
11,11,0,0,2495
12,12,1,1,2476
12,12,3,3,2439
12,12,2,2,2539
12,12,0,0,2546
13,13,2,2,2541
13,13,3,3,2572
13,13,0,0,2468
13,13,1,1,2419
0,1,2,0,612
0,1,3,0,1860
0,1,3,1,650
0,1,0,2,586
0,1,0,3,1941
0,1,1,2,1886
0,1,1,3,625
0,1,2,1,1840
0,2,0,0,107
0,2,2,2,129
0,2,3,3,107
0,2,1,0,2410
0,2,1,1,116
0,2,2,3,2384
0,2,3,2,2405
0,2,0,1,2342
0,4,2,0,620
0,4,3,1,606
0,4,3,0,1909
0,4,1,3,599
0,4,2,1,1876
0,4,0,2,616
0,4,0,3,1902
0,4,1,2,1872
0,3,2,2,121
0,3,0,1,2365
0,3,1,1,133
0,3,2,3,2374
0,3,3,2,2397
0,3,0,0,146
0,3,3,3,134
0,3,1,0,2330
1,2,1,2,230
1,2,0,3,219
1,2,0,2,2332
1,2,2,1,192
1,2,1,3,2227
1,2,3,0,234
1,2,3,1,2326
1,2,2,0,2240
1,5,3,1,2192
1,5,3,0,305
1,5,2,0,2182
1,5,0,3,343
1,5,1,2,362
1,5,0,2,2130
1,5,1,3,2164
1,5,2,1,322
1,6,2,0,362
1,6,3,1,325
1,6,3,0,2167
1,6,0,2,356
1,6,0,3,2147
1,6,1,2,2174
1,6,1,3,318
1,6,2,1,2151
2,7,3,1,2268
2,7,3,0,223
2,7,2,0,2259
2,7,1,2,215
2,7,0,2,2310
2,7,0,3,224
2,7,2,1,208
2,7,1,3,2293
2,8,0,0,154
2,8,2,2,130
2,8,0,1,2337
2,8,1,1,126
2,8,2,3,2453
2,8,3,3,127
2,8,1,0,2288
2,8,3,2,2385
3,4,2,0,1359
3,4,1,3,1356
3,4,2,1,1128
3,4,3,1,1361
3,4,3,0,1150
3,4,1,2,1131
3,4,0,3,1132
3,4,0,2,1383
3,10,0,0,126
3,10,2,2,121
3,10,3,2,2309
3,10,0,1,2411
3,10,1,1,137
3,10,2,3,2390
3,10,3,3,133
3,10,1,0,2373
3,11,3,1,1362
3,11,3,0,1140
3,11,2,0,1321
3,11,2,1,1167
3,11,1,3,1348
3,11,0,2,1384
3,11,1,2,1150
3,11,0,3,1128
4,12,2,0,334
4,12,0,2,324
4,12,1,2,2149
4,12,0,3,2169
4,12,3,1,329
4,12,3,0,2141
4,12,1,3,333
4,12,2,1,2221
4,9,1,2,63
4,9,0,3,66
4,9,0,2,2402
4,9,2,1,60
4,9,1,3,2458
4,9,3,0,70
4,9,3,1,2388
4,9,2,0,2493
5,6,1,0,2459
5,6,0,1,2479
5,6,2,3,2514
5,6,3,2,2548
5,11,3,0,333
5,11,3,1,2204
5,11,2,1,363
5,11,1,3,2138
5,11,2,0,2195
5,11,0,3,346
5,11,1,2,320
5,11,0,2,2101
5,12,3,2,2500
5,12,1,0,2467
5,12,0,1,2518
5,12,2,3,2515
6,9,2,2,114
6,9,0,0,133
6,9,1,1,118
6,9,2,3,2352
6,9,3,3,109
6,9,1,0,2364
6,9,0,1,2380
6,9,3,2,2430
6,10,2,2,128
6,10,0,0,134
6,10,1,1,126
6,10,2,3,2369
6,10,3,3,115
6,10,1,0,2372
6,10,3,2,2370
6,10,0,1,2386
7,8,2,0,13
7,8,1,3,4
7,8,2,1,2430
7,8,0,2,17
7,8,1,2,2478
7,8,0,3,2508
7,8,3,1,10
7,8,3,0,2540
7,10,1,2,783
7,10,0,3,831
7,10,0,2,1685
7,10,2,0,1693
7,10,3,0,797
7,10,3,1,1672
7,10,1,3,1755
7,10,2,1,784
7,12,2,0,334
7,12,1,3,355
7,12,2,1,2181
7,12,0,2,357
7,12,1,2,2184
7,12,0,3,2147
7,12,3,1,322
7,12,3,0,2120
8,9,2,2,126
8,9,0,0,117
8,9,1,1,108
8,9,2,3,2340
8,9,0,1,2379
8,9,3,3,142
8,9,1,0,2393
8,9,3,2,2395
8,11,2,0,13
8,11,1,3,8
8,11,2,1,2497
8,11,3,1,14
8,11,3,0,2488
8,11,0,2,8
8,11,1,2,2531
8,11,0,3,2441
13,0,3,0,598
13,0,3,1,1921
13,0,1,2,633
13,0,0,2,1882
13,0,0,3,625
13,0,2,0,1888
13,0,2,1,579
13,0,1,3,1874
13,1,3,2,2534
13,1,0,1,2495
13,1,2,3,2462
13,1,1,0,2509
13,2,2,0,212
13,2,0,2,226
13,2,0,3,2300
13,2,1,2,2234
13,2,3,1,216
13,2,3,0,2280
13,2,1,3,209
13,2,2,1,2323
13,3,3,0,1373
13,3,3,1,1214
13,3,2,0,1172
13,3,0,2,1171
13,3,0,3,1308
13,3,1,2,1342
13,3,2,1,1274
13,3,1,3,1146
13,4,3,2,2477
13,4,2,3,2554
13,4,0,1,2513
13,4,1,0,2456
13,5,2,0,358
13,5,1,2,2250
13,5,0,2,359
13,5,0,3,2083
13,5,1,3,337
13,5,2,1,2118
13,5,3,0,2140
13,5,3,1,355
13,6,3,0,348
13,6,3,1,2163
13,6,2,1,339
13,6,1,3,2186
13,6,2,0,2178
13,6,1,2,343
13,6,0,3,337
13,6,0,2,2106
13,7,1,0,2482
13,7,0,1,2456
13,7,2,3,2535
13,7,3,2,2527
13,8,2,0,2537
13,8,3,0,21
13,8,3,1,2478
13,8,2,1,14
13,8,1,3,2458
13,8,1,2,8
13,8,0,3,11
13,8,0,2,2473
13,9,2,0,57
13,9,1,3,60
13,9,2,1,2441
13,9,3,1,63
13,9,3,0,2489
13,9,0,2,52
13,9,0,3,2408
13,9,1,2,2430
13,10,2,0,809
13,10,2,1,1726
13,10,1,3,763
13,10,0,2,782
13,10,1,2,1732
13,10,0,3,1701
13,10,3,0,1687
13,10,3,1,800
13,11,2,3,2496
13,11,3,2,2461
13,11,0,1,2516
13,11,1,0,2527
13,12,2,0,2072
13,12,3,0,350
13,12,3,1,2232
13,12,0,3,299
13,12,0,2,2190
13,12,1,2,305
13,12,2,1,356
13,12,1,3,2196
1,0,2,0,614
1,0,1,3,614
1,0,2,1,1897
1,0,1,2,1874
1,0,0,3,1912
1,0,0,2,617
1,0,3,1,590
1,0,3,0,1882
2,0,2,2,118
2,0,0,0,110
2,0,3,2,2319
2,0,3,3,130
2,0,1,0,2362
2,0,1,1,128
2,0,2,3,2408
2,0,0,1,2425
4,0,2,1,1917
4,0,1,3,647
4,0,2,0,620
4,0,3,0,1830
4,0,3,1,645
4,0,0,2,625
4,0,1,2,1878
4,0,0,3,1838
3,0,0,0,124
3,0,2,2,122
3,0,0,1,2442
3,0,3,2,2381
3,0,3,3,112
3,0,1,0,2355
3,0,1,1,125
