va,vb,ca,cb,n
0,0,0,0,208
0,0,1,0,22
0,0,2,0,28
0,0,3,0,21
0,0,0,1,9
0,0,1,1,188
0,0,2,1,18
0,0,3,1,26
0,0,0,2,27
0,0,1,2,21
0,0,2,2,221
0,0,3,2,27
0,0,0,3,13
0,0,1,3,37
0,0,2,3,16
0,0,3,3,142
1,1,0,0,170
1,1,1,0,35
1,1,2,0,38
1,1,3,0,11
1,1,0,1,25
1,1,1,1,201
1,1,2,1,7
1,1,3,1,37
1,1,0,2,27
1,1,1,2,12
1,1,2,2,180
1,1,3,2,17
1,1,0,3,13
1,1,1,3,32
1,1,2,3,21
1,1,3,3,198
2,2,0,0,190
2,2,1,0,14
2,2,2,0,30
2,2,3,0,22
2,2,0,1,17
2,2,1,1,194
2,2,2,1,16
2,2,3,1,43
2,2,0,2,47
2,2,1,2,16
2,2,2,2,144
2,2,3,2,23
2,2,0,3,19
2,2,1,3,26
2,2,2,3,20
2,2,3,3,203
3,3,0,0,204
3,3,1,0,18
3,3,2,0,37
3,3,3,0,11
3,3,0,1,22
3,3,1,1,191
3,3,2,1,15
3,3,3,1,22
3,3,0,2,29
3,3,1,2,13
3,3,2,2,162
3,3,3,2,23
3,3,0,3,19
3,3,1,3,27
3,3,2,3,37
3,3,3,3,194
4,4,0,0,163
4,4,1,0,19
4,4,2,0,32
4,4,3,0,10
4,4,0,1,29
4,4,1,1,220
4,4,2,1,14
4,4,3,1,43
4,4,0,2,33
4,4,1,2,8
4,4,2,2,151
4,4,3,2,12
4,4,0,3,22
4,4,1,3,30
4,4,2,3,16
4,4,3,3,222
5,5,0,0,207
5,5,1,0,16
5,5,2,0,46
5,5,3,0,10
5,5,0,1,26
5,5,1,1,204
5,5,2,1,9
5,5,3,1,38
5,5,0,2,30
5,5,1,2,13
5,5,2,2,164
5,5,3,2,28
5,5,0,3,12
5,5,1,3,37
5,5,2,3,34
5,5,3,3,150
6,6,0,0,201
6,6,1,0,20
6,6,2,0,34
6,6,3,0,13
6,6,0,1,16
6,6,1,1,190
6,6,2,1,14
6,6,3,1,54
6,6,0,2,34
6,6,1,2,8
6,6,2,2,208
6,6,3,2,27
6,6,0,3,10
6,6,1,3,30
6,6,2,3,31
6,6,3,3,134
7,7,0,0,152
7,7,1,0,20
7,7,2,0,27
7,7,3,0,12
7,7,0,1,34
7,7,1,1,229
7,7,2,1,13
7,7,3,1,40
7,7,0,2,25
7,7,1,2,8
7,7,2,2,190
7,7,3,2,11
7,7,0,3,9
7,7,1,3,34
7,7,2,3,20
7,7,3,3,200
8,8,0,0,196
8,8,1,0,21
8,8,2,0,36
8,8,3,0,12
8,8,0,1,19
8,8,1,1,171
8,8,2,1,26
8,8,3,1,22
8,8,0,2,52
8,8,1,2,10
8,8,2,2,242
8,8,3,2,22
8,8,0,3,16
8,8,1,3,32
8,8,2,3,16
8,8,3,3,131
9,9,0,0,162
9,9,1,0,21
9,9,2,0,38
9,9,3,0,15
9,9,0,1,24
9,9,1,1,199
9,9,2,1,11
9,9,3,1,32
9,9,0,2,29
9,9,1,2,13
9,9,2,2,150
9,9,3,2,31
9,9,0,3,13
9,9,1,3,39
9,9,2,3,29
9,9,3,3,218
10,10,0,0,204
10,10,1,0,15
10,10,2,0,32
10,10,3,0,7
10,10,0,1,25
10,10,1,1,188
10,10,2,1,13
10,10,3,1,44
10,10,0,2,24
10,10,1,2,22
10,10,2,2,164
10,10,3,2,33
10,10,0,3,6
10,10,1,3,44
10,10,2,3,30
10,10,3,3,173
11,11,0,0,159
11,11,1,0,27
11,11,2,0,29
11,11,3,0,18
11,11,0,1,36
11,11,1,1,198
11,11,2,1,8
11,11,3,1,46
11,11,0,2,38
11,11,1,2,11
11,11,2,2,175
11,11,3,2,14
11,11,0,3,7
11,11,1,3,34
11,11,2,3,15
11,11,3,3,209
12,12,0,0,194
12,12,1,0,26
12,12,2,0,46
12,12,3,0,9
12,12,0,1,15
12,12,1,1,173
12,12,2,1,9
12,12,3,1,29
12,12,0,2,36
12,12,1,2,12
12,12,2,2,200
12,12,3,2,23
12,12,0,3,18
12,12,1,3,38
12,12,2,3,41
12,12,3,3,155
13,13,0,0,235
13,13,1,0,18
13,13,2,0,32
13,13,3,0,13
13,13,0,1,34
13,13,1,1,154
13,13,2,1,19
13,13,3,1,27
13,13,0,2,30
13,13,1,2,12
13,13,2,2,208
13,13,3,2,23
13,13,0,3,15
13,13,1,3,33
13,13,2,3,16
13,13,3,3,155
0,1,0,0,26
0,1,1,0,32
0,1,2,0,80
0,1,3,0,101
0,1,0,1,29
0,1,1,1,23
0,1,2,1,147
0,1,3,1,95
0,1,0,2,57
0,1,1,2,134
0,1,2,2,20
0,1,3,2,21
0,1,0,3,157
0,1,1,3,59
0,1,2,3,22
0,1,3,3,21
0,2,0,0,25
0,2,1,0,186
0,2,2,0,28
0,2,3,0,23
0,2,0,1,223
0,2,1,1,22
0,2,2,1,20
0,2,3,1,15
0,2,0,2,11
0,2,1,2,29
0,2,2,2,35
0,2,3,2,130
0,2,0,3,34
0,2,1,3,25
0,2,2,3,177
0,2,3,3,41
