va,vb,ca,cb,n
0,0,0,0,196
0,0,1,0,25
0,0,2,0,25
0,0,3,0,17
0,0,0,1,19
0,0,1,1,191
0,0,2,1,13
0,0,3,1,30
0,0,0,2,40
0,0,1,2,15
0,0,2,2,193
0,0,3,2,27
0,0,0,3,23
0,0,1,3,30
0,0,2,3,22
0,0,3,3,158
1,1,0,0,176
1,1,1,0,29
1,1,2,0,32
1,1,3,0,10
1,1,0,1,24
1,1,1,1,178
1,1,2,1,23
1,1,3,1,30
1,1,0,2,28
1,1,1,2,13
1,1,2,2,177
1,1,3,2,33
1,1,0,3,23
1,1,1,3,54
1,1,2,3,20
1,1,3,3,174
2,2,0,0,204
2,2,1,0,21
2,2,2,0,34
2,2,3,0,12
2,2,0,1,24
2,2,1,1,184
2,2,2,1,8
2,2,3,1,23
2,2,0,2,33
2,2,1,2,19
2,2,2,2,166
2,2,3,2,28
2,2,0,3,13
2,2,1,3,39
2,2,2,3,29
2,2,3,3,187
3,3,0,0,191
3,3,1,0,28
3,3,2,0,27
3,3,3,0,16
3,3,0,1,28
3,3,1,1,163
3,3,2,1,22
3,3,3,1,28
3,3,0,2,19
3,3,1,2,25
3,3,2,2,190
3,3,3,2,23
3,3,0,3,18
3,3,1,3,25
3,3,2,3,33
3,3,3,3,188
4,4,0,0,152
4,4,1,0,33
4,4,2,0,24
4,4,3,0,12
4,4,0,1,31
4,4,1,1,198
4,4,2,1,16
4,4,3,1,34
4,4,0,2,27
4,4,1,2,15
4,4,2,2,185
4,4,3,2,37
4,4,0,3,22
4,4,1,3,43
4,4,2,3,19
4,4,3,3,176
5,5,0,0,163
5,5,1,0,37
5,5,2,0,19
5,5,3,0,20
5,5,0,1,27
5,5,1,1,166
5,5,2,1,13
5,5,3,1,38
5,5,0,2,51
5,5,1,2,15
5,5,2,2,174
5,5,3,2,46
5,5,0,3,17
5,5,1,3,32
5,5,2,3,33
5,5,3,3,173
6,6,0,0,190
6,6,1,0,25
6,6,2,0,31
6,6,3,0,13
6,6,0,1,39
6,6,1,1,163
6,6,2,1,13
6,6,3,1,31
6,6,0,2,38
6,6,1,2,32
6,6,2,2,193
6,6,3,2,23
6,6,0,3,18
6,6,1,3,39
6,6,2,3,33
6,6,3,3,143
7,7,0,0,175
7,7,1,0,27
7,7,2,0,32
7,7,3,0,10
7,7,0,1,33
7,7,1,1,183
7,7,2,1,8
7,7,3,1,25
7,7,0,2,34
7,7,1,2,17
7,7,2,2,172
7,7,3,2,28
7,7,0,3,31
7,7,1,3,41
7,7,2,3,27
7,7,3,3,181
8,8,0,0,192
8,8,1,0,26
8,8,2,0,39
8,8,3,0,18
8,8,0,1,23
8,8,1,1,182
8,8,2,1,14
8,8,3,1,20
8,8,0,2,50
8,8,1,2,17
8,8,2,2,195
8,8,3,2,32
8,8,0,3,17
8,8,1,3,29
8,8,2,3,23
8,8,3,3,147
9,9,0,0,186
9,9,1,0,29
9,9,2,0,26
9,9,3,0,19
9,9,0,1,10
9,9,1,1,196
9,9,2,1,18
9,9,3,1,39
9,9,0,2,39
9,9,1,2,16
9,9,2,2,165
9,9,3,2,32
9,9,0,3,18
9,9,1,3,27
9,9,2,3,34
9,9,3,3,170
10,10,0,0,185
10,10,1,0,41
10,10,2,0,25
10,10,3,0,10
10,10,0,1,26
10,10,1,1,185
10,10,2,1,15
10,10,3,1,37
10,10,0,2,39
10,10,1,2,14
10,10,2,2,172
10,10,3,2,31
10,10,0,3,16
10,10,1,3,27
10,10,2,3,24
10,10,3,3,177
11,11,0,0,167
11,11,1,0,24
11,11,2,0,25
11,11,3,0,9
11,11,0,1,22
11,11,1,1,183
11,11,2,1,15
11,11,3,1,33
11,11,0,2,34
11,11,1,2,15
11,11,2,2,186
11,11,3,2,34
11,11,0,3,29
11,11,1,3,47
11,11,2,3,28
11,11,3,3,173
12,12,0,0,204
12,12,1,0,24
12,12,2,0,38
12,12,3,0,13
12,12,0,1,32
12,12,1,1,186
12,12,2,1,13
12,12,3,1,27
12,12,0,2,37
12,12,1,2,18
12,12,2,2,173
12,12,3,2,33
12,12,0,3,8
12,12,1,3,47
12,12,2,3,39
12,12,3,3,132
13,13,0,0,199
13,13,1,0,18
13,13,2,0,37
13,13,3,0,10
13,13,0,1,32
13,13,1,1,148
13,13,2,1,13
13,13,3,1,22
13,13,0,2,36
13,13,1,2,20
13,13,2,2,189
13,13,3,2,26
13,13,0,3,20
13,13,1,3,34
13,13,2,3,27
13,13,3,3,193
0,1,0,0,20
0,1,1,0,20
0,1,2,0,68
0,1,3,0,106
0,1,0,1,35
0,1,1,1,21
0,1,2,1,133
0,1,3,1,72
0,1,0,2,69
0,1,1,2,140
0,1,2,2,25
0,1,3,2,22
0,1,0,3,164
0,1,1,3,65
0,1,2,3,32
0,1,3,3,32
0,2,0,0,33
0,2,1,0,190
0,2,2,0,27
0,2,3,0,24
0,2,0,1,204
0,2,1,1,24
0,2,2,1,28
0,2,3,1,23
0,2,0,2,15
0,2,1,2,22
0,2,2,2,32
0,2,3,2,140
0,2,0,3,39
0,2,1,3,15
0,2,2,3,168
0,2,3,3,40
0,4,0,0,20
0,4,1,0,26
0,4,2,0,75
0,4,3,0,108
0,4,0,1,30
0,4,1,1,35
0,4,2,1,150
0,4,3,1,72
0,4,0,2,64
0,4,1,2,146
0,4,2,2,24
0,4,3,2,18
0,4,0,3,155
0,4,1,3,60
0,4,2,3,20
0,4,3,3,21
0,3,0,0,41
0,3,1,0,173
0,3,2,0,22
0,3,3,0,30
0,3,0,1,182
0,3,1,1,31
0,3,2,1,27
0,3,3,1,14
0,3,0,2,16
0,3,1,2,29
0,3,2,2,45
0,3,3,2,169
0,3,0,3,26
0,3,1,3,14
0,3,2,3,184
0,3,3,3,21
1,2,0,0,39
1,2,1,0,19
1,2,2,0,162
1,2,3,0,42
1,2,0,1,20
1,2,1,1,41
1,2,2,1,40
1,2,3,1,198
1,2,0,2,163
1,2,1,2,24
1,2,2,2,23
1,2,3,2,4
1,2,0,3,36
1,2,1,3,186
1,2,2,3,12
1,2,3,3,15
1,5,0,0,27
1,5,1,0,22
1,5,2,0,175
1,5,3,0,39
1,5,0,1,21
1,5,1,1,36
1,5,2,1,41
1,5,3,1,173
1,5,0,2,128
1,5,1,2,61
1,5,2,2,19
1,5,3,2,22
1,5,0,3,54
1,5,1,3,164
1,5,2,3,17
1,5,3,3,25
1,6,0,0,17
1,6,1,0,40
1,6,2,0,52
1,6,3,0,165
1,6,0,1,30
1,6,1,1,17
1,6,2,1,167
1,6,3,1,35
1,6,0,2,58
1,6,1,2,159
1,6,2,2,22
1,6,3,2,18
1,6,0,3,137
1,6,1,3,63
1,6,2,3,24
1,6,3,3,20
2,7,0,0,33
2,7,1,0,13
2,7,2,0,155
2,7,3,0,45
2,7,0,1,29
2,7,1,1,36
2,7,2,1,54
2,7,3,1,151
2,7,0,2,168
2,7,1,2,35
2,7,2,2,17
2,7,3,2,22
2,7,0,3,42
2,7,1,3,189
2,7,2,3,11
2,7,3,3,24
2,8,0,0,31
2,8,1,0,196
2,8,2,0,17
2,8,3,0,36
2,8,0,1,171
2,8,1,1,25
2,8,2,1,23
2,8,3,1,19
2,8,0,2,21
2,8,1,2,34
2,8,2,2,40
2,8,3,2,177
2,8,0,3,33
2,8,1,3,23
2,8,2,3,140
2,8,3,3,38
3,4,0,0,23
3,4,1,0,21
3,4,2,0,73
3,4,3,0,91
3,4,0,1,25
3,4,1,1,28
3,4,2,1,114
3,4,3,1,86
3,4,0,2,120
3,4,1,2,107
3,4,2,2,23
3,4,3,2,28
3,4,0,3,103
3,4,1,3,119
3,4,2,3,31
3,4,3,3,32
3,10,0,0,54
3,10,1,0,160
3,10,2,0,17
3,10,3,0,37
3,10,0,1,201
3,10,1,1,25
3,10,2,1,32
3,10,3,1,19
3,10,0,2,14
3,10,1,2,41
3,10,2,2,34
3,10,3,2,153
3,10,0,3,35
3,10,1,3,19
3,10,2,3,145
3,10,3,3,38
3,11,0,0,16
3,11,1,0,17
3,11,2,0,77
3,11,3,0,102
3,11,0,1,31
3,11,1,1,28
3,11,2,1,106
3,11,3,1,101
3,11,0,2,139
3,11,1,2,92
3,11,2,2,14
3,11,3,2,26
3,11,0,3,105
3,11,1,3,109
3,11,2,3,38
3,11,3,3,23
4,12,0,0,16
4,12,1,0,44
4,12,2,0,54
4,12,3,0,168
4,12,0,1,30
4,12,1,1,14
4,12,2,1,161
4,12,3,1,52
4,12,0,2,61
4,12,1,2,151
4,12,2,2,18
4,12,3,2,25
4,12,0,3,127
4,12,1,3,55
4,12,2,3,28
4,12,3,3,20
4,9,0,0,34
4,9,1,0,15
4,9,2,0,202
4,9,3,0,20
4,9,0,1,18
4,9,1,1,37
4,9,2,1,35
4,9,3,1,154
4,9,0,2,160
4,9,1,2,46
4,9,2,2,17
4,9,3,2,16
4,9,0,3,34
4,9,1,3,185
4,9,2,3,21
4,9,3,3,30
5,6,0,0,27
5,6,1,0,219
5,6,2,0,19
5,6,3,0,38
5,6,0,1,184
5,6,1,1,30
5,6,2,1,21
5,6,3,1,15
5,6,0,2,17
5,6,1,2,24
5,6,2,2,29
5,6,3,2,169
5,6,0,3,45
5,6,1,3,17
5,6,2,3,135
5,6,3,3,35
5,11,0,0,37
5,11,1,0,13
5,11,2,0,160
5,11,3,0,40
5,11,0,1,23
5,11,1,1,31
5,11,2,1,44
5,11,3,1,171
5,11,0,2,167
5,11,1,2,47
5,11,2,2,30
5,11,3,2,13
5,11,0,3,47
5,11,1,3,149
5,11,2,3,26
5,11,3,3,26
5,12,0,0,28
5,12,1,0,186
5,12,2,0,19
5,12,3,0,34
5,12,0,1,182
5,12,1,1,20
5,12,2,1,33
5,12,3,1,9
5,12,0,2,15
5,12,1,2,39
5,12,2,2,30
5,12,3,2,183
5,12,0,3,30
5,12,1,3,17
5,12,2,3,164
5,12,3,3,35
6,9,0,0,43
6,9,1,0,175
6,9,2,0,25
6,9,3,0,27
6,9,0,1,193
6,9,1,1,25
6,9,2,1,50
6,9,3,1,14
6,9,0,2,17
6,9,1,2,26
6,9,2,2,31
6,9,3,2,145
6,9,0,3,38
6,9,1,3,17
6,9,2,3,172
6,9,3,3,26
6,10,0,0,47
6,10,1,0,159
6,10,2,0,29
6,10,3,0,23
6,10,0,1,205
6,10,1,1,29
6,10,2,1,35
6,10,3,1,14
6,10,0,2,14
6,10,1,2,31
6,10,2,2,57
6,10,3,2,134
6,10,0,3,36
6,10,1,3,11
6,10,2,3,172
6,10,3,3,28
7,8,0,0,23
7,8,1,0,40
7,8,2,0,26
7,8,3,0,183
7,8,0,1,40
7,8,1,1,17
7,8,2,1,173
7,8,3,1,22
7,8,0,2,32
7,8,1,2,205
7,8,2,2,23
7,8,3,2,29
7,8,0,3,152
7,8,1,3,20
7,8,2,3,25
7,8,3,3,14
7,10,0,0,37
7,10,1,0,28
7,10,2,0,132
7,10,3,0,65
7,10,0,1,16
7,10,1,1,26
7,10,2,1,79
7,10,3,1,138
7,10,0,2,102
7,10,1,2,112
7,10,2,2,18
7,10,3,2,22
7,10,0,3,88
7,10,1,3,121
7,10,2,3,13
7,10,3,3,27
7,12,0,0,24
7,12,1,0,36
7,12,2,0,50
7,12,3,0,171
7,12,0,1,22
7,12,1,1,12
7,12,2,1,173
7,12,3,1,37
7,12,0,2,53
7,12,1,2,158
7,12,2,2,15
7,12,3,2,43
7,12,0,3,121
7,12,1,3,69
7,12,2,3,22
7,12,3,3,18
8,9,0,0,40
8,9,1,0,170
8,9,2,0,8
8,9,3,0,25
8,9,0,1,190
8,9,1,1,24
8,9,2,1,31
8,9,3,1,16
8,9,0,2,20
8,9,1,2,20
8,9,2,2,64
8,9,3,2,140
8,9,0,3,39
8,9,1,3,24
8,9,2,3,174
8,9,3,3,39
8,11,0,0,18
8,11,1,0,41
8,11,2,0,34
8,11,3,0,142
8,11,0,1,37
8,11,1,1,22
8,11,2,1,185
8,11,3,1,19
8,11,0,2,34
8,11,1,2,191
8,11,2,2,15
8,11,3,2,22
8,11,0,3,174
8,11,1,3,29
8,11,2,3,39
8,11,3,3,22
13,0,0,0,32
13,0,1,0,15
13,0,2,0,162
13,0,3,0,56
13,0,0,1,26
13,0,1,1,29
13,0,2,1,83
13,0,3,1,153
13,0,0,2,175
13,0,1,2,38
13,0,2,2,19
13,0,3,2,12
13,0,0,3,50
13,0,1,3,108
13,0,2,3,33
13,0,3,3,33
13,1,0,0,45
13,1,1,0,142
13,1,2,0,14
13,1,3,0,21
13,1,0,1,194
13,1,1,1,32
13,1,2,1,37
13,1,3,1,12
13,1,0,2,11
13,1,1,2,36
13,1,2,2,38
13,1,3,2,180
13,1,0,3,39
13,1,1,3,20
13,1,2,3,186
13,1,3,3,17
13,2,0,0,13
13,2,1,0,34
13,2,2,0,54
13,2,3,0,179
13,2,0,1,47
13,2,1,1,23
13,2,2,1,142
13,2,3,1,35
13,2,0,2,32
13,2,1,2,149
13,2,2,2,23
13,2,3,2,24
13,2,0,3,196
13,2,1,3,33
13,2,2,3,26
13,2,3,3,14
13,3,0,0,41
13,3,1,0,29
13,3,2,0,120
13,3,3,0,132
13,3,0,1,21
13,3,1,1,31
13,3,2,1,90
13,3,3,1,79
13,3,0,2,69
13,3,1,2,103
13,3,2,2,23
13,3,3,2,25
13,3,0,3,164
13,3,1,3,67
13,3,2,3,16
13,3,3,3,14
13,4,0,0,37
13,4,1,0,158
13,4,2,0,11
13,4,3,0,15
13,4,0,1,198
13,4,1,1,30
13,4,2,1,27
13,4,3,1,17
13,4,0,2,13
13,4,1,2,30
13,4,2,2,34
13,4,3,2,181
13,4,0,3,45
13,4,1,3,16
13,4,2,3,183
13,4,3,3,29
13,5,0,0,16
13,5,1,0,30
13,5,2,0,48
13,5,3,0,155
13,5,0,1,26
13,5,1,1,17
13,5,2,1,170
13,5,3,1,48
13,5,0,2,70
13,5,1,2,128
13,5,2,2,14
13,5,3,2,23
13,5,0,3,185
13,5,1,3,55
13,5,2,3,20
13,5,3,3,19
13,6,0,0,44
13,6,1,0,17
13,6,2,0,164
13,6,3,0,53
13,6,0,1,18
13,6,1,1,35
13,6,2,1,44
13,6,3,1,144
13,6,0,2,161
13,6,1,2,51
13,6,2,2,30
13,6,3,2,18
13,6,0,3,72
13,6,1,3,133
13,6,2,3,20
13,6,3,3,20
13,7,0,0,48
13,7,1,0,172
13,7,2,0,4
13,7,3,0,23
13,7,0,1,194
13,7,1,1,16
13,7,2,1,28
13,7,3,1,23
13,7,0,2,16
13,7,1,2,29
13,7,2,2,32
13,7,3,2,190
13,7,0,3,47
13,7,1,3,23
13,7,2,3,167
13,7,3,3,12
13,8,0,0,44
13,8,1,0,20
13,8,2,0,186
13,8,3,0,27
13,8,0,1,14
13,8,1,1,38
13,8,2,1,27
13,8,3,1,171
13,8,0,2,224
13,8,1,2,27
13,8,2,2,25
13,8,3,2,20
13,8,0,3,31
13,8,1,3,134
13,8,2,3,17
13,8,3,3,19
13,9,0,0,12
13,9,1,0,35
13,9,2,0,25
13,9,3,0,167
13,9,0,1,40
13,9,1,1,17
13,9,2,1,198
13,9,3,1,16
13,9,0,2,43
13,9,1,2,162
13,9,2,2,18
13,9,3,2,20
13,9,0,3,180
13,9,1,3,41
13,9,2,3,26
13,9,3,3,24
13,10,0,0,28
13,10,1,0,41
13,10,2,0,76
13,10,3,0,107
13,10,0,1,37
13,10,1,1,27
13,10,2,1,148
13,10,3,1,81
13,10,0,2,97
13,10,1,2,131
13,10,2,2,17
13,10,3,2,29
