va,vb,win_rate
0,0,0.7412109375
0,1,0.912109375
0,2,0.8798828125
0,3,0.9072265625
0,4,0.9052734375
0,13,0.9072265625
1,0,0.9033203125
1,1,0.7314453125
1,2,0.8818359375
1,5,0.876953125
1,6,0.953125
1,13,0.904296875
2,0,0.91796875
2,1,0.888671875
2,2,0.7138671875
2,7,0.892578125
2,8,0.8623046875
2,13,0.935546875
3,0,0.857421875
3,3,0.7333984375
3,4,0.935546875
3,10,0.90234375
3,11,0.916015625
3,13,0.884765625
4,0,0.8798828125
4,3,0.9013671875
4,4,0.73828125
4,9,0.8798828125
4,12,0.951171875
4,13,0.9033203125
5,1,0.87109375
5,5,0.7080078125
5,6,0.9013671875
5,11,0.8720703125
5,12,0.8876953125
5,13,0.9443359375
6,1,0.9453125
6,5,0.9072265625
6,6,0.7158203125
6,9,0.904296875
6,10,0.8583984375
6,13,0.8623046875
7,2,0.888671875
7,7,0.7529296875
7,8,0.947265625
7,10,0.865234375
7,12,0.9306640625
7,13,0.9091796875
8,2,0.8994140625
8,7,0.9482421875
8,8,0.72265625
8,9,0.865234375
8,11,0.9443359375
8,13,0.8828125
9,4,0.8642578125
9,6,0.8515625
9,8,0.900390625
9,9,0.7119140625
9,13,0.9599609375
10,3,0.8505859375
10,6,0.8984375
10,7,0.880859375
10,10,0.7119140625
10,13,0.9365234375
11,3,0.9228515625
11,5,0.8603515625
11,8,0.9453125
11,11,0.7236328125
11,13,0.921875
12,4,0.94921875
12,5,0.890625
12,7,0.9482421875
12,12,0.705078125
12,13,0.8720703125
13,0,0.888671875
13,1,0.89453125
13,2,0.9443359375
13,3,0.888671875
13,4,0.9091796875
13,5,0.9345703125
13,6,0.8798828125
13,7,0.9013671875
13,8,0.8583984375
13,9,0.943359375
13,10,0.91796875
13,11,0.927734375
13,12,0.876953125
13,13,0.734375
