va,vb,win_rate
0,0,0.720703125
0,1,0.904296875
0,2,0.8740234375
0,3,0.865234375
0,4,0.90234375
0,13,0.8984375
1,0,0.921875
1,1,0.6884765625
1,2,0.884765625
1,5,0.8955078125
1,6,0.92578125
1,13,0.8974609375
2,0,0.8662109375
2,1,0.87890625
2,2,0.7236328125
2,7,0.892578125
2,8,0.869140625
2,13,0.921875
3,0,0.865234375
3,3,0.71484375
3,4,0.896484375
3,10,0.8525390625
3,11,0.9208984375
3,13,0.890625
4,0,0.9052734375
4,3,0.9111328125
4,4,0.6943359375
4,9,0.884765625
4,12,0.93359375
4,13,0.912109375
5,1,0.8759765625
5,5,0.66015625
5,6,0.8818359375
5,11,0.87890625
5,12,0.8896484375
5,13,0.9326171875
6,1,0.9287109375
6,5,0.873046875
6,6,0.6728515625
6,9,0.8779296875
6,10,0.8427734375
6,13,0.87890625
7,2,0.8720703125
7,7,0.6943359375
7,8,0.9248046875
7,10,0.89453125
7,12,0.9326171875
7,13,0.8701171875
8,2,0.87109375
8,7,0.9375
8,8,0.69921875
8,9,0.8369140625
8,11,0.9248046875
8,13,0.869140625
9,4,0.876953125
9,6,0.8583984375
9,8,0.8662109375
9,9,0.7001953125
9,13,0.9384765625
10,3,0.86328125
10,6,0.884765625
10,7,0.892578125
10,10,0.7021484375
10,13,0.9208984375
11,3,0.9091796875
11,5,0.8876953125
11,8,0.93359375
11,11,0.6923828125
11,13,0.8876953125
12,4,0.935546875
12,5,0.876953125
12,7,0.939453125
12,12,0.6787109375
12,13,0.8818359375
13,0,0.8896484375
13,1,0.87109375
13,2,0.9287109375
13,3,0.8935546875
13,4,0.873046875
13,5,0.935546875
13,6,0.8740234375
13,7,0.89453125
13,8,0.876953125
13,9,0.9306640625
13,10,0.9072265625
13,11,0.8837890625
13,12,0.890625
13,13,0.7119140625
