va,vb,ca,cb,n
0,0,1,1,2453
0,0,3,3,2504
0,0,0,0,2516
0,0,2,2,2527
1,1,0,0,2483
1,1,1,1,2505
1,1,3,3,2490
1,1,2,2,2522
2,2,3,3,2495
2,2,2,2,2505
2,2,1,1,2489
2,2,0,0,2511
3,3,1,1,2473
3,3,3,3,2527
3,3,0,0,2472
3,3,2,2,2528
4,4,1,1,2495
4,4,2,2,2467
4,4,3,3,2534
4,4,0,0,2504
5,5,2,2,2521
5,5,0,0,2537
5,5,3,3,2446
5,5,1,1,2496
6,6,3,3,2551
6,6,2,2,2460
6,6,0,0,2533
6,6,1,1,2456
7,7,1,1,2488
7,7,3,3,2532
7,7,0,0,2574
7,7,2,2,2406
8,8,3,3,2376
8,8,0,0,2604
8,8,2,2,2535
8,8,1,1,2485
9,9,0,0,2587
9,9,3,3,2438
9,9,1,1,2491
9,9,2,2,2484
10,10,1,1,2517
10,10,3,3,2479
10,10,2,2,2514
10,10,0,0,2490
11,11,3,3,2520
11,11,1,1,2513
11,11,2,2,2446
11,11,0,0,2521
12,12,1,1,2540
12,12,0,0,2569
12,12,3,3,2513
12,12,2,2,2378
13,13,2,2,2507
13,13,3,3,2553
13,13,0,0,2449
13,13,1,1,2491
0,1,0,1,1689
0,1,0,3,822
0,1,1,2,852
0,1,1,0,1691
0,1,3,2,1628
0,1,3,0,825
0,1,2,3,1668
0,1,2,1,825
0,2,2,0,14
0,2,1,0,833
0,2,2,3,796
0,2,0,2,18
0,2,0,3,1628
0,2,1,2,1697
0,2,3,1,10
0,2,3,2,825
0,2,3,0,1722
0,2,1,3,7
0,2,2,1,1625
0,2,0,1,825
0,4,2,0,9
0,4,2,3,79
0,4,0,1,75
0,4,1,0,89
0,4,3,1,12
0,4,3,2,72
0,4,3,0,2417
0,4,1,3,3
0,4,2,1,2436
0,4,0,2,7
0,4,0,3,2350
0,4,1,2,2451
0,3,2,0,4
0,3,0,2,3
0,3,0,3,87
0,3,1,2,78
0,3,1,3,6
0,3,2,1,60
0,3,1,0,2360
0,3,3,1,6
0,3,3,0,82
0,3,3,2,2440
0,3,2,3,2411
0,3,0,1,2463
1,2,0,1,3
1,2,1,0,4
1,2,2,3,3
1,2,1,2,13
1,2,0,3,12
1,2,0,2,2499
1,2,3,2,4
1,2,3,0,7
1,2,3,1,2459
1,2,2,1,12
1,2,1,3,2395
1,2,2,0,2589
1,5,1,0,897
1,5,2,3,965
1,5,2,1,318
1,5,1,3,1248
1,5,0,1,898
1,5,3,2,897
1,5,3,0,319
1,5,3,1,1266
1,5,2,0,1285
1,5,1,2,317
1,5,0,3,350
1,5,0,2,1240
1,6,1,0,773
1,6,2,3,786
1,6,2,0,1236
1,6,0,1,726
1,6,3,2,750
1,6,3,0,482
1,6,3,1,1230
1,6,2,1,513
1,6,1,3,1264
1,6,1,2,484
1,6,0,3,528
1,6,0,2,1228
