va,vb,ca,cb,win,n,job,backend,shots
0,0,0,0,1,216,cjrouffggiqgokfp38g0,ibm_auckland,1024
0,0,1,0,0,32,cjrouffggiqgokfp38g0,ibm_auckland,1024
0,0,2,0,0,15,cjrouffggiqgokfp38g0,ibm_auckland,1024
0,0,3,0,0,37,cjrouffggiqgokfp38g0,ibm_auckland,1024
0,0,0,1,0,21,cjrouffggiqgokfp38g0,ibm_auckland,1024
0,0,1,1,1,173,cjrouffggiqgokfp38g0,ibm_auckland,1024
0,0,2,1,0,15,cjrouffggiqgokfp38g0,ibm_auckland,1024
0,0,3,1,0,16,cjrouffggiqgokfp38g0,ibm_auckland,1024
0,0,0,2,0,11,cjrouffggiqgokfp38g0,ibm_auckland,1024
0,0,1,2,0,18,cjrouffggiqgokfp38g0,ibm_auckland,1024
0,0,2,2,1,218,cjrouffggiqgokfp38g0,ibm_auckland,1024
0,0,3,2,0,26,cjrouffggiqgokfp38g0,ibm_auckland,1024
0,0,0,3,0,41,cjrouffggiqgokfp38g0,ibm_auckland,1024
0,0,1,3,0,18,cjrouffggiqgokfp38g0,ibm_auckland,1024
0,0,2,3,0,14,cjrouffggiqgokfp38g0,ibm_auckland,1024
0,0,3,3,1,153,cjrouffggiqgokfp38g0,ibm_auckland,1024
1,1,0,0,1,138,cjrouffggiqgokfp38g0,ibm_auckland,1024
1,1,1,0,0,14,cjrouffggiqgokfp38g0,ibm_auckland,1024
1,1,2,0,0,18,cjrouffggiqgokfp38g0,ibm_auckland,1024
1,1,3,0,0,25,cjrouffggiqgokfp38g0,ibm_auckland,1024
1,1,0,1,0,30,cjrouffggiqgokfp38g0,ibm_auckland,1024
1,1,1,1,1,220,cjrouffggiqgokfp38g0,ibm_auckland,1024
1,1,2,1,0,44,cjrouffggiqgokfp38g0,ibm_auckland,1024
1,1,3,1,0,23,cjrouffggiqgokfp38g0,ibm_auckland,1024
1,1,0,2,0,20,cjrouffggiqgokfp38g0,ibm_auckland,1024
1,1,1,2,0,35,cjrouffggiqgokfp38g0,ibm_auckland,1024
1,1,2,2,1,153,cjrouffggiqgokfp38g0,ibm_auckland,1024
1,1,3,2,0,16,cjrouffggiqgokfp38g0,ibm_auckland,1024
1,1,0,3,0,21,cjrouffggiqgokfp38g0,ibm_auckland,1024
1,1,1,3,0,24,cjrouffggiqgokfp38g0,ibm_auckland,1024
1,1,2,3,0,30,cjrouffggiqgokfp38g0,ibm_auckland,1024
1,1,3,3,1,213,cjrouffggiqgokfp38g0,ibm_auckland,1024
2,2,0,0,1,129,cjrouffggiqgokfp38g0,ibm_auckland,1024
2,2,1,0,0,5,cjrouffggiqgokfp38g0,ibm_auckland,1024
2,2,2,0,0,12,cjrouffggiqgokfp38g0,ibm_auckland,1024
2,2,3,0,0,21,cjrouffggiqgokfp38g0,ibm_auckland,1024
2,2,0,1,0,32,cjrouffggiqgokfp38g0,ibm_auckland,1024
2,2,1,1,1,211,cjrouffggiqgokfp38g0,ibm_auckland,1024
2,2,2,1,0,52,cjrouffggiqgokfp38g0,ibm_auckland,1024
2,2,3,1,0,26,cjrouffggiqgokfp38g0,ibm_auckland,1024
2,2,0,2,0,11,cjrouffggiqgokfp38g0,ibm_auckland,1024
2,2,1,2,0,15,cjrouffggiqgokfp38g0,ibm_auckland,1024
2,2,2,2,1,169,cjrouffggiqgokfp38g0,ibm_auckland,1024
2,2,3,2,0,13,cjrouffggiqgokfp38g0,ibm_auckland,1024
2,2,0,3,0,28,cjrouffggiqgokfp38g0,ibm_auckland,1024
2,2,1,3,0,27,cjrouffggiqgokfp38g0,ibm_auckland,1024
2,2,2,3,0,82,cjrouffggiqgokfp38g0,ibm_auckland,1024
2,2,3,3,1,191,cjrouffggiqgokfp38g0,ibm_auckland,1024
3,3,0,0,1,224,cjrouffggiqgokfp38g0,ibm_auckland,1024
3,3,1,0,0,26,cjrouffggiqgokfp38g0,ibm_auckland,1024
3,3,2,0,0,16,cjrouffggiqgokfp38g0,ibm_auckland,1024
3,3,3,0,0,16,cjrouffggiqgokfp38g0,ibm_auckland,1024
3,3,0,1,0,45,cjrouffggiqgokfp38g0,ibm_auckland,1024
3,3,1,1,1,183,cjrouffggiqgokfp38g0,ibm_auckland,1024
3,3,2,1,0,26,cjrouffggiqgokfp38g0,ibm_auckland,1024
3,3,3,1,0,16,cjrouffggiqgokfp38g0,ibm_auckland,1024
3,3,0,2,0,13,cjrouffggiqgokfp38g0,ibm_auckland,1024
3,3,1,2,0,20,cjrouffggiqgokfp38g0,ibm_auckland,1024
3,3,2,2,1,158,cjrouffggiqgokfp38g0,ibm_auckland,1024
3,3,3,2,0,17,cjrouffggiqgokfp38g0,ibm_auckland,1024
3,3,0,3,0,39,cjrouffggiqgokfp38g0,ibm_auckland,1024
3,3,1,3,0,24,cjrouffggiqgokfp38g0,ibm_auckland,1024
3,3,2,3,0,39,cjrouffggiqgokfp38g0,ibm_auckland,1024
3,3,3,3,1,162,cjrouffggiqgokfp38g0,ibm_auckland,1024
4,4,0,0,1,172,cjrouffggiqgokfp38g0,ibm_auckland,1024
4,4,1,0,0,9,cjrouffggiqgokfp38g0,ibm_auckland,1024
4,4,2,0,0,16,cjrouffggiqgokfp38g0,ibm_auckland,1024
4,4,3,0,0,27,cjrouffggiqgokfp38g0,ibm_auckland,1024
4,4,0,1,0,24,cjrouffggiqgokfp38g0,ibm_auckland,1024
4,4,1,1,1,254,cjrouffggiqgokfp38g0,ibm_auckland,1024
4,4,2,1,0,11,cjrouffggiqgokfp38g0,ibm_auckland,1024
4,4,3,1,0,29,cjrouffggiqgokfp38g0,ibm_auckland,1024
4,4,0,2,0,16,cjrouffggiqgokfp38g0,ibm_auckland,1024
4,4,1,2,0,14,cjrouffggiqgokfp38g0,ibm_auckland,1024
4,4,2,2,1,194,cjrouffggiqgokfp38g0,ibm_auckland,1024
4,4,3,2,0,17,cjrouffggiqgokfp38g0,ibm_auckland,1024
4,4,0,3,0,38,cjrouffggiqgokfp38g0,ibm_auckland,1024
4,4,1,3,0,14,cjrouffggiqgokfp38g0,ibm_auckland,1024
4,4,2,3,0,26,cjrouffggiqgokfp38g0,ibm_auckland,1024
4,4,3,3,1,163,cjrouffggiqgokfp38g0,ibm_auckland,1024
5,5,0,0,1,214,cjrouffggiqgokfp38g0,ibm_auckland,1024
5,5,1,0,0,7,cjrouffggiqgokfp38g0,ibm_auckland,1024
5,5,2,0,0,25,cjrouffggiqgokfp38g0,ibm_auckland,1024
5,5,3,0,0,8,cjrouffggiqgokfp38g0,ibm_auckland,1024
5,5,0,1,0,15,cjrouffggiqgokfp38g0,ibm_auckland,1024
5,5,1,1,1,177,cjrouffggiqgokfp38g0,ibm_auckland,1024
5,5,2,1,0,15,cjrouffggiqgokfp38g0,ibm_auckland,1024
5,5,3,1,0,28,cjrouffggiqgokfp38g0,ibm_auckland,1024
5,5,0,2,0,11,cjrouffggiqgokfp38g0,ibm_auckland,1024
5,5,1,2,0,13,cjrouffggiqgokfp38g0,ibm_auckland,1024
5,5,2,2,1,172,cjrouffggiqgokfp38g0,ibm_auckland,1024
5,5,3,2,0,41,cjrouffggiqgokfp38g0,ibm_auckland,1024
5,5,0,3,0,24,cjrouffggiqgokfp38g0,ibm_auckland,1024
5,5,1,3,0,21,cjrouffggiqgokfp38g0,ibm_auckland,1024
5,5,2,3,0,46,cjrouffggiqgokfp38g0,ibm_auckland,1024
5,5,3,3,1,207,cjrouffggiqgokfp38g0,ibm_auckland,1024
6,6,0,0,1,169,cjrouffggiqgokfp38g0,ibm_auckland,1024
6,6,1,0,0,23,cjrouffggiqgokfp38g0,ibm_auckland,1024
6,6,2,0,0,12,cjrouffggiqgokfp38g0,ibm_auckland,1024
6,6,3,0,0,8,cjrouffggiqgokfp38g0,ibm_auckland,1024
6,6,0,1,0,33,cjrouffggiqgokfp38g0,ibm_auckland,1024
6,6,1,1,1,191,cjrouffggiqgokfp38g0,ibm_auckland,1024
6,6,2,1,0,26,cjrouffggiqgokfp38g0,ibm_auckland,1024
6,6,3,1,0,37,cjrouffggiqgokfp38g0,ibm_auckland,1024
6,6,0,2,0,24,cjrouffggiqgokfp38g0,ibm_auckland,1024
6,6,1,2,0,26,cjrouffggiqgokfp38g0,ibm_auckland,1024
6,6,2,2,1,214,cjrouffggiqgokfp38g0,ibm_auckland,1024
6,6,3,2,0,10,cjrouffggiqgokfp38g0,ibm_auckland,1024
6,6,0,3,0,25,cjrouffggiqgokfp38g0,ibm_auckland,1024
6,6,1,3,0,15,cjrouffggiqgokfp38g0,ibm_auckland,1024
6,6,2,3,0,23,cjrouffggiqgokfp38g0,ibm_auckland,1024
6,6,3,3,1,188,cjrouffggiqgokfp38g0,ibm_auckland,1024
7,7,0,0,1,142,cjrouffggiqgokfp38g0,ibm_auckland,1024
7,7,1,0,0,22,cjrouffggiqgokfp38g0,ibm_auckland,1024
7,7,2,0,0,22,cjrouffggiqgokfp38g0,ibm_auckland,1024
7,7,3,0,0,13,cjrouffggiqgokfp38g0,ibm_auckland,1024
7,7,0,1,0,42,cjrouffggiqgokfp38g0,ibm_auckland,1024
7,7,1,1,1,215,cjrouffggiqgokfp38g0,ibm_auckland,1024
7,7,2,1,0,24,cjrouffggiqgokfp38g0,ibm_auckland,1024
7,7,3,1,0,24,cjrouffggiqgokfp38g0,ibm_auckland,1024
7,7,0,2,0,23,cjrouffggiqgokfp38g0,ibm_auckland,1024
7,7,1,2,0,17,cjrouffggiqgokfp38g0,ibm_auckland,1024
7,7,2,2,1,169,cjrouffggiqgokfp38g0,ibm_auckland,1024
7,7,3,2,0,9,cjrouffggiqgokfp38g0,ibm_auckland,1024
7,7,0,3,0,14,cjrouffggiqgokfp38g0,ibm_auckland,1024
7,7,1,3,0,35,cjrouffggiqgokfp38g0,ibm_auckland,1024
7,7,2,3,0,17,cjrouffggiqgokfp38g0,ibm_auckland,1024
7,7,3,3,1,236,cjrouffggiqgokfp38g0,ibm_auckland,1024
8,8,0,0,1,163,cjrouffggiqgokfp38g0,ibm_auckland,1024
8,8,1,0,0,13,cjrouffggiqgokfp38g0,ibm_auckland,1024
8,8,2,0,0,27,cjrouffggiqgokfp38g0,ibm_auckland,1024
8,8,3,0,0,15,cjrouffggiqgokfp38g0,ibm_auckland,1024
8,8,0,1,0,16,cjrouffggiqgokfp38g0,ibm_auckland,1024
8,8,1,1,1,204,cjrouffggiqgokfp38g0,ibm_auckland,1024
8,8,2,1,0,21,cjrouffggiqgokfp38g0,ibm_auckland,1024
8,8,3,1,0,39,cjrouffggiqgokfp38g0,ibm_auckland,1024
8,8,0,2,0,36,cjrouffggiqgokfp38g0,ibm_auckland,1024
8,8,1,2,0,10,cjrouffggiqgokfp38g0,ibm_auckland,1024
8,8,2,2,1,213,cjrouffggiqgokfp38g0,ibm_auckland,1024
8,8,3,2,0,16,cjrouffggiqgokfp38g0,ibm_auckland,1024
8,8,0,3,0,11,cjrouffggiqgokfp38g0,ibm_auckland,1024
8,8,1,3,0,28,cjrouffggiqgokfp38g0,ibm_auckland,1024
8,8,2,3,0,38,cjrouffggiqgokfp38g0,ibm_auckland,1024
8,8,3,3,1,174,cjrouffggiqgokfp38g0,ibm_auckland,1024
9,9,0,0,1,221,cjrouffggiqgokfp38g0,ibm_auckland,1024
9,9,1,0,0,13,cjrouffggiqgokfp38g0,ibm_auckland,1024
9,9,2,0,0,20,cjrouffggiqgokfp38g0,ibm_auckland,1024
9,9,3,0,0,20,cjrouffggiqgokfp38g0,ibm_auckland,1024
9,9,0,1,0,12,cjrouffggiqgokfp38g0,ibm_auckland,1024
9,9,1,1,1,146,cjrouffggiqgokfp38g0,ibm_auckland,1024
9,9,2,1,0,15,cjrouffggiqgokfp38g0,ibm_auckland,1024
9,9,3,1,0,25,cjrouffggiqgokfp38g0,ibm_auckland,1024
9,9,0,2,0,15,cjrouffggiqgokfp38g0,ibm_auckland,1024
9,9,1,2,0,10,cjrouffggiqgokfp38g0,ibm_auckland,1024
9,9,2,2,1,128,cjrouffggiqgokfp38g0,ibm_auckland,1024
9,9,3,2,0,40,cjrouffggiqgokfp38g0,ibm_auckland,1024
9,9,0,3,0,33,cjrouffggiqgokfp38g0,ibm_auckland,1024
9,9,1,3,0,52,cjrouffggiqgokfp38g0,ibm_auckland,1024
9,9,2,3,0,22,cjrouffggiqgokfp38g0,ibm_auckland,1024
9,9,3,3,1,252,cjrouffggiqgokfp38g0,ibm_auckland,1024
10,10,0,0,1,183,cjrouffggiqgokfp38g0,ibm_auckland,1024
10,10,1,0,0,37,cjrouffggiqgokfp38g0,ibm_auckland,1024
10,10,2,0,0,18,cjrouffggiqgokfp38g0,ibm_auckland,1024
10,10,3,0,0,12,cjrouffggiqgokfp38g0,ibm_auckland,1024
10,10,0,1,0,32,cjrouffggiqgokfp38g0,ibm_auckland,1024
10,10,1,1,1,224,cjrouffggiqgokfp38g0,ibm_auckland,1024
10,10,2,1,0,14,cjrouffggiqgokfp38g0,ibm_auckland,1024
10,10,3,1,0,36,cjrouffggiqgokfp38g0,ibm_auckland,1024
10,10,0,2,0,30,cjrouffggiqgokfp38g0,ibm_auckland,1024
10,10,1,2,0,12,cjrouffggiqgokfp38g0,ibm_auckland,1024
10,10,2,2,1,165,cjrouffggiqgokfp38g0,ibm_auckland,1024
10,10,3,2,0,17,cjrouffggiqgokfp38g0,ibm_auckland,1024
10,10,0,3,0,9,cjrouffggiqgokfp38g0,ibm_auckland,1024
10,10,1,3,0,34,cjrouffggiqgokfp38g0,ibm_auckland,1024
10,10,2,3,0,22,cjrouffggiqgokfp38g0,ibm_auckland,1024
10,10,3,3,1,179,cjrouffggiqgokfp38g0,ibm_auckland,1024
11,11,0,0,1,150,cjrouffggiqgokfp38g0,ibm_auckland,1024
11,11,1,0,0,12,cjrouffggiqgokfp38g0,ibm_auckland,1024
11,11,2,0,0,19,cjrouffggiqgokfp38g0,ibm_auckland,1024
11,11,3,0,0,14,cjrouffggiqgokfp38g0,ibm_auckland,1024
11,11,0,1,0,13,cjrouffggiqgokfp38g0,ibm_auckland,1024
11,11,1,1,1,210,cjrouffggiqgokfp38g0,ibm_auckland,1024
11,11,2,1,0,17,cjrouffggiqgokfp38g0,ibm_auckland,1024
11,11,3,1,0,24,cjrouffggiqgokfp38g0,ibm_auckland,1024
11,11,0,2,0,15,cjrouffggiqgokfp38g0,ibm_auckland,1024
11,11,1,2,0,11,cjrouffggiqgokfp38g0,ibm_auckland,1024
11,11,2,2,1,197,cjrouffggiqgokfp38g0,ibm_auckland,1024
11,11,3,2,0,18,cjrouffggiqgokfp38g0,ibm_auckland,1024
11,11,0,3,0,24,cjrouffggiqgokfp38g0,ibm_auckland,1024
11,11,1,3,0,30,cjrouffggiqgokfp38g0,ibm_auckland,1024
11,11,2,3,0,52,cjrouffggiqgokfp38g0,ibm_auckland,1024
11,11,3,3,1,218,cjrouffggiqgokfp38g0,ibm_auckland,1024
12,12,0,0,1,108,cjrouffggiqgokfp38g0,ibm_auckland,1024
12,12,1,0,0,13,cjrouffggiqgokfp38g0,ibm_auckland,1024
12,12,2,0,0,14,cjrouffggiqgokfp38g0,ibm_auckland,1024
12,12,3,0,0,10,cjrouffggiqgokfp38g0,ibm_auckland,1024
12,12,0,1,0,21,cjrouffggiqgokfp38g0,ibm_auckland,1024
12,12,1,1,1,270,cjrouffggiqgokfp38g0,ibm_auckland,1024
12,12,2,1,0,22,cjrouffggiqgokfp38g0,ibm_auckland,1024
12,12,3,1,0,34,cjrouffggiqgokfp38g0,ibm_auckland,1024
12,12,0,2,0,18,cjrouffggiqgokfp38g0,ibm_auckland,1024
12,12,1,2,0,27,cjrouffggiqgokfp38g0,ibm_auckland,1024
12,12,2,2,1,199,cjrouffggiqgokfp38g0,ibm_auckland,1024
12,12,3,2,0,15,cjrouffggiqgokfp38g0,ibm_auckland,1024
12,12,0,3,0,23,cjrouffggiqgokfp38g0,ibm_auckland,1024
12,12,1,3,0,24,cjrouffggiqgokfp38g0,ibm_auckland,1024
12,12,2,3,0,65,cjrouffggiqgokfp38g0,ibm_auckland,1024
12,12,3,3,1,161,cjrouffggiqgokfp38g0,ibm_auckland,1024
13,13,0,0,1,175,cjrouffggiqgokfp38g0,ibm_auckland,1024
13,13,1,0,0,29,cjrouffggiqgokfp38g0,ibm_auckland,1024
13,13,2,0,0,16,cjrouffggiqgokfp38g0,ibm_auckland,1024
13,13,3,0,0,22,cjrouffggiqgokfp38g0,ibm_auckland,1024
13,13,0,1,0,20,cjrouffggiqgokfp38g0,ibm_auckland,1024
13,13,1,1,1,132,cjrouffggiqgokfp38g0,ibm_auckland,1024
13,13,2,1,0,27,cjrouffggiqgokfp38g0,ibm_auckland,1024
13,13,3,1,0,49,cjrouffggiqgokfp38g0,ibm_auckland,1024
13,13,0,2,0,14,cjrouffggiqgokfp38g0,ibm_auckland,1024
13,13,1,2,0,31,cjrouffggiqgokfp38g0,ibm_auckland,1024
13,13,2,2,1,185,cjrouffggiqgokfp38g0,ibm_auckland,1024
13,13,3,2,0,61,cjrouffggiqgokfp38g0,ibm_auckland,1024
13,13,0,3,0,23,cjrouffggiqgokfp38g0,ibm_auckland,1024
13,13,1,3,0,13,cjrouffggiqgokfp38g0,ibm_auckland,1024
13,13,2,3,0,20,cjrouffggiqgokfp38g0,ibm_auckland,1024
13,13,3,3,1,207,cjrouffggiqgokfp38g0,ibm_auckland,1024
0,1,0,0,0,15,cjrouffggiqgokfp38g0,ibm_auckland,1024
0,1,1,0,1,126,cjrouffggiqgokfp38g0,ibm_auckland,1024
0,1,2,0,1,15,cjrouffggiqgokfp38g0,ibm_auckland,1024
0,1,3,0,1,70,cjrouffggiqgokfp38g0,ibm_auckland,1024
0,1,0,1,1,172,cjrouffggiqgokfp38g0,ibm_auckland,1024
0,1,1,1,0,34,cjrouffggiqgokfp38g0,ibm_auckland,1024
0,1,2,1,1,98,cjrouffggiqgokfp38g0,ibm_auckland,1024
0,1,3,1,1,18,cjrouffggiqgokfp38g0,ibm_auckland,1024
0,1,0,2,1,15,cjrouffggiqgokfp38g0,ibm_auckland,1024
0,1,1,2,1,57,cjrouffggiqgokfp38g0,ibm_auckland,1024
0,1,2,2,0,5,cjrouffggiqgokfp38g0,ibm_auckland,1024
0,1,3,2,1,102,cjrouffggiqgokfp38g0,ibm_auckland,1024
0,1,0,3,1,65,cjrouffggiqgokfp38g0,ibm_auckland,1024
0,1,1,3,1,31,cjrouffggiqgokfp38g0,ibm_auckland,1024
0,1,2,3,1,144,cjrouffggiqgokfp38g0,ibm_auckland,1024
0,1,3,3,0,57,cjrouffggiqgokfp38g0,ibm_auckland,1024
0,2,0,0,0,18,cjrouffggiqgokfp38g0,ibm_auckland,1024
0,2,1,0,1,78,cjrouffggiqgokfp38g0,ibm_auckland,1024
0,2,2,0,1,22,cjrouffggiqgokfp38g0,ibm_auckland,1024
0,2,3,0,1,116,cjrouffggiqgokfp38g0,ibm_auckland,1024
0,2,0,1,1,68,cjrouffggiqgokfp38g0,ibm_auckland,1024
0,2,1,1,0,28,cjrouffggiqgokfp38g0,ibm_auckland,1024
0,2,2,1,1,127,cjrouffggiqgokfp38g0,ibm_auckland,1024
0,2,3,1,1,52,cjrouffggiqgokfp38g0,ibm_auckland,1024
0,2,0,2,1,22,cjrouffggiqgokfp38g0,ibm_auckland,1024
0,2,1,2,1,169,cjrouffggiqgokfp38g0,ibm_auckland,1024
0,2,2,2,0,11,cjrouffggiqgokfp38g0,ibm_auckland,1024
0,2,3,2,1,52,cjrouffggiqgokfp38g0,ibm_auckland,1024
0,2,0,3,1,125,cjrouffggiqgokfp38g0,ibm_auckland,1024
0,2,1,3,1,29,cjrouffggiqgokfp38g0,ibm_auckland,1024
0,2,2,3,1,92,cjrouffggiqgokfp38g0,ibm_auckland,1024
0,2,3,3,0,15,cjrouffggiqgokfp38g0,ibm_auckland,1024
0,4,0,0,0,31,cjrouffggiqgokfp38g0,ibm_auckland,1024
0,4,1,0,1,14,cjrouffggiqgokfp38g0,ibm_auckland,1024
0,4,2,0,1,13,cjrouffggiqgokfp38g0,ibm_auckland,1024
0,4,3,0,1,179,cjrouffggiqgokfp38g0,ibm_auckland,1024
0,4,0,1,1,23,cjrouffggiqgokfp38g0,ibm_auckland,1024
0,4,1,1,0,29,cjrouffggiqgokfp38g0,ibm_auckland,1024
0,4,2,1,1,174,cjrouffggiqgokfp38g0,ibm_auckland,1024
0,4,3,1,1,18,cjrouffggiqgokfp38g0,ibm_auckland,1024
0,4,0,2,1,21,cjrouffggiqgokfp38g0,ibm_auckland,1024
0,4,1,2,1,197,cjrouffggiqgokfp38g0,ibm_auckland,1024
0,4,2,2,0,20,cjrouffggiqgokfp38g0,ibm_auckland,1024
0,4,3,2,1,28,cjrouffggiqgokfp38g0,ibm_auckland,1024
0,4,0,3,1,196,cjrouffggiqgokfp38g0,ibm_auckland,1024
0,4,1,3,1,27,cjrouffggiqgokfp38g0,ibm_auckland,1024
0,4,2,3,1,19,cjrouffggiqgokfp38g0,ibm_auckland,1024
0,4,3,3,0,35,cjrouffggiqgokfp38g0,ibm_auckland,1024
0,3,0,0,0,21,cjrouffggiqgokfp38g0,ibm_auckland,1024
0,3,1,0,1,220,cjrouffggiqgokfp38g0,ibm_auckland,1024
0,3,2,0,1,10,cjrouffggiqgokfp38g0,ibm_auckland,1024
