va,vb,ca,cb,n
0,0,2,2,2505
0,0,0,0,2510
0,0,1,1,2489
0,0,3,3,2496
1,1,0,0,2479
1,1,2,2,2519
1,1,1,1,2489
1,1,3,3,2513
2,2,2,2,2524
2,2,1,1,2525
2,2,3,3,2444
2,2,0,0,2507
3,3,3,3,2576
3,3,2,2,2477
3,3,0,0,2461
3,3,1,1,2486
4,4,0,0,2497
4,4,1,1,2459
4,4,2,2,2549
4,4,3,3,2495
5,5,3,3,2503
5,5,1,1,2528
5,5,0,0,2433
5,5,2,2,2536
6,6,0,0,2573
6,6,2,2,2487
6,6,1,1,2480
6,6,3,3,2460
7,7,1,1,2492
7,7,0,0,2576
7,7,3,3,2422
7,7,2,2,2510
8,8,0,0,2433
8,8,3,3,2505
8,8,2,2,2513
8,8,1,1,2549
9,9,0,0,2503
9,9,2,2,2451
9,9,3,3,2539
9,9,1,1,2507
10,10,3,3,2484
10,10,0,0,2482
10,10,2,2,2516
10,10,1,1,2518
11,11,1,1,2451
11,11,2,2,2540
11,11,0,0,2492
11,11,3,3,2517
12,12,1,1,2471
12,12,3,3,2421
12,12,2,2,2506
12,12,0,0,2602
13,13,2,2,2515
13,13,1,1,2447
13,13,0,0,2522
13,13,3,3,2516
0,1,0,1,1260
0,1,1,3,1273
0,1,0,2,1264
0,1,2,3,1264
0,1,2,0,1211
0,1,3,2,1221
0,1,3,1,1244
0,1,1,0,1263
0,2,3,0,2483
0,2,2,1,2490
0,2,0,3,2516
0,2,1,2,2511
0,4,2,0,650
0,4,2,3,661
0,4,0,1,680
0,4,3,2,606
0,4,3,1,599
0,4,3,0,1238
0,4,1,0,649
0,4,1,3,618
0,4,2,1,1192
0,4,0,2,618
0,4,1,2,1241
0,4,0,3,1248
0,3,1,0,614
0,3,2,0,626
0,3,2,3,582
0,3,0,1,669
0,3,3,1,587
0,3,3,0,1221
0,3,3,2,648
0,3,0,2,650
0,3,0,3,1268
0,3,1,2,1244
0,3,1,3,627
0,3,2,1,1264
1,2,1,0,1285
1,2,2,0,1272
1,2,0,2,1247
1,2,1,3,1259
1,2,2,3,1219
1,2,3,2,1239
1,2,3,1,1252
1,2,0,1,1227
1,5,0,2,2490
1,5,2,0,2475
1,5,1,3,2489
1,5,3,1,2546
1,6,3,2,2517
1,6,2,3,2555
1,6,1,0,2441
1,6,0,1,2487
2,7,1,0,631
2,7,2,3,623
2,7,0,1,652
2,7,2,0,664
2,7,3,0,1267
2,7,3,2,566
2,7,3,1,620
2,7,0,2,626
2,7,1,2,1250
2,7,0,3,1244
2,7,1,3,602
2,7,2,1,1255
2,8,0,1,612
2,8,1,0,635
2,8,0,3,1251
2,8,1,2,1282
2,8,0,2,623
2,8,3,2,624
2,8,3,0,1239
2,8,3,1,620
2,8,2,3,581
2,8,1,3,637
2,8,2,1,1274
2,8,2,0,622
3,4,0,1,1265
3,4,2,3,1239
3,4,1,0,1292
3,4,1,3,1234
3,4,3,1,1262
3,4,3,2,1257
3,4,2,0,1183
3,4,0,2,1268
3,10,0,1,212
3,10,2,3,206
3,10,2,0,1901
3,10,0,3,411
3,10,0,2,1869
3,10,1,2,451
3,10,1,0,200
3,10,3,2,181
3,10,3,0,420
3,10,3,1,1869
3,10,2,1,410
3,10,1,3,1870
3,11,1,2,421
3,11,0,3,418
3,11,0,2,228
3,11,2,0,237
3,11,1,3,211
3,11,2,1,394
3,11,1,0,1818
3,11,3,0,397
3,11,3,1,210
3,11,3,2,1950
3,11,0,1,1830
3,11,2,3,1886
4,12,1,3,195
4,12,2,1,431
4,12,0,3,401
4,12,1,2,410
4,12,0,2,206
4,12,2,0,221
4,12,2,3,1909
4,12,3,0,437
4,12,3,1,201
4,12,3,2,1886
4,12,0,1,1876
4,12,1,0,1827
4,9,1,0,197
4,9,2,3,236
4,9,0,1,218
4,9,1,2,442
4,9,0,3,413
4,9,0,2,1854
4,9,2,0,1912
4,9,2,1,434
4,9,1,3,1798
4,9,3,0,410
4,9,3,2,232
4,9,3,1,1854
5,6,3,0,2533
5,6,0,3,2512
5,6,1,2,2527
5,6,2,1,2428
5,11,1,3,801
5,11,2,1,1613
5,11,3,1,847
5,11,3,0,1706
5,11,2,0,855
5,11,0,3,1716
5,11,1,2,1618
5,11,0,2,844
5,12,1,3,841
5,12,2,1,1718
5,12,2,0,871
5,12,3,1,828
5,12,3,0,1638
5,12,0,2,800
5,12,0,3,1689
5,12,1,2,1615
6,9,1,0,852
6,9,2,3,840
6,9,0,1,869
6,9,3,2,832
6,9,3,0,1706
6,9,2,1,1568
6,9,1,2,1636
6,9,0,3,1697
6,10,0,1,871
6,10,3,0,1659
6,10,3,2,885
6,10,2,1,1627
6,10,1,2,1684
