va,vb,job,backend,shots,qtype,qubits,version,time,win_rate,Device
0,0,cjsb5jmiel5ovfdojlqg,ibm_hanoi,1024,Vertex,27.0,1.3.3,2023-09-06 13:11:47.908000-04:00,0.8271484375,Hanoi
1,1,cjsb5jmiel5ovfdojlqg,ibm_hanoi,1024,Vertex,27.0,1.3.3,2023-09-06 13:11:47.908000-04:00,0.830078125,Hanoi
2,2,cjsb5jmiel5ovfdojlqg,ibm_hanoi,1024,Vertex,27.0,1.3.3,2023-09-06 13:11:47.908000-04:00,0.83984375,Hanoi
3,3,cjsb5jmiel5ovfdojlqg,ibm_hanoi,1024,Vertex,27.0,1.3.3,2023-09-06 13:11:47.908000-04:00,0.8466796875,Hanoi
4,4,cjsb5jmiel5ovfdojlqg,ibm_hanoi,1024,Vertex,27.0,1.3.3,2023-09-06 13:11:47.908000-04:00,0.8369140625,Hanoi
5,5,cjsb5jmiel5ovfdojlqg,ibm_hanoi,1024,Vertex,27.0,1.3.3,2023-09-06 13:11:47.908000-04:00,0.8203125,Hanoi
6,6,cjsb5jmiel5ovfdojlqg,ibm_hanoi,1024,Vertex,27.0,1.3.3,2023-09-06 13:11:47.908000-04:00,0.8134765625,Hanoi
7,7,cjsb5jmiel5ovfdojlqg,ibm_hanoi,1024,Vertex,27.0,1.3.3,2023-09-06 13:11:47.908000-04:00,0.8349609375,Hanoi
8,8,cjsb5jmiel5ovfdojlqg,ibm_hanoi,1024,Vertex,27.0,1.3.3,2023-09-06 13:11:47.908000-04:00,0.8154296875,Hanoi
9,9,cjsb5jmiel5ovfdojlqg,ibm_hanoi,1024,Vertex,27.0,1.3.3,2023-09-06 13:11:47.908000-04:00,0.8330078125,Hanoi
10,10,cjsb5jmiel5ovfdojlqg,ibm_hanoi,1024,Vertex,27.0,1.3.3,2023-09-06 13:11:47.908000-04:00,0.8427734375,Hanoi
11,11,cjsb5jmiel5ovfdojlqg,ibm_hanoi,1024,Vertex,27.0,1.3.3,2023-09-06 13:11:47.908000-04:00,0.8388671875,Hanoi
