va,vb,job,backend,shots,qtype,qubits,version,time,q_winrate
0,0,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024,Vertex,7.0,1.4.0,2023-09-06 14:54:20.039000-04:00,0.63671875
1,1,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024,Vertex,7.0,1.4.0,2023-09-06 14:54:20.039000-04:00,0.6484375
2,2,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024,Vertex,7.0,1.4.0,2023-09-06 14:54:20.039000-04:00,0.6494140625
3,3,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024,Vertex,7.0,1.4.0,2023-09-06 14:54:20.039000-04:00,0.634765625
4,4,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024,Vertex,7.0,1.4.0,2023-09-06 14:54:20.039000-04:00,0.6650390625
5,5,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024,Vertex,7.0,1.4.0,2023-09-06 14:54:20.039000-04:00,0.61328125
6,6,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024,Vertex,7.0,1.4.0,2023-09-06 14:54:20.039000-04:00,0.6123046875
7,7,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024,Vertex,7.0,1.4.0,2023-09-06 14:54:20.039000-04:00,0.630859375
8,8,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024,Vertex,7.0,1.4.0,2023-09-06 14:54:20.039000-04:00,0.640625
9,9,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024,Vertex,7.0,1.4.0,2023-09-06 14:54:20.039000-04:00,0.6220703125
10,10,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024,Vertex,7.0,1.4.0,2023-09-06 14:54:20.039000-04:00,0.62109375
11,11,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024,Vertex,7.0,1.4.0,2023-09-06 14:54:20.039000-04:00,0.6162109375
12,12,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024,Vertex,7.0,1.4.0,2023-09-06 14:54:20.039000-04:00,0.66796875
13,13,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024,Vertex,7.0,1.4.0,2023-09-06 14:54:20.039000-04:00,0.626953125
0,1,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024,Edge,7.0,1.4.0,2023-09-06 14:54:20.039000-04:00,0.8759765625
0,2,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024,Edge,7.0,1.4.0,2023-09-06 14:54:20.039000-04:00,0.9521484375
0,4,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024,Edge,7.0,1.4.0,2023-09-06 14:54:20.039000-04:00,0.8935546875
0,3,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024,Edge,7.0,1.4.0,2023-09-06 14:54:20.039000-04:00,0.87890625
1,2,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024,Edge,7.0,1.4.0,2023-09-06 14:54:20.039000-04:00,0.849609375
1,5,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024,Edge,7.0,1.4.0,2023-09-06 14:54:20.039000-04:00,0.876953125
1,6,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024,Edge,7.0,1.4.0,2023-09-06 14:54:20.039000-04:00,0.8408203125
2,7,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024,Edge,7.0,1.4.0,2023-09-06 14:54:20.039000-04:00,0.89453125
2,8,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024,Edge,7.0,1.4.0,2023-09-06 14:54:20.039000-04:00,0.896484375
3,4,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024,Edge,7.0,1.4.0,2023-09-06 14:54:20.039000-04:00,0.8828125
3,10,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024,Edge,7.0,1.4.0,2023-09-06 14:54:20.039000-04:00,0.8984375
3,11,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024,Edge,7.0,1.4.0,2023-09-06 14:54:20.039000-04:00,0.8525390625
4,12,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024,Edge,7.0,1.4.0,2023-09-06 14:54:20.039000-04:00,0.8828125
4,9,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024,Edge,7.0,1.4.0,2023-09-06 14:54:20.039000-04:00,0.8876953125
5,6,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024,Edge,7.0,1.4.0,2023-09-06 14:54:20.039000-04:00,0.9287109375
5,11,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024,Edge,7.0,1.4.0,2023-09-06 14:54:20.039000-04:00,0.9150390625
5,12,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024,Edge,7.0,1.4.0,2023-09-06 14:54:20.039000-04:00,0.9130859375
6,9,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024,Edge,7.0,1.4.0,2023-09-06 14:54:20.039000-04:00,0.890625
6,10,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024,Edge,7.0,1.4.0,2023-09-06 14:54:20.039000-04:00,0.8857421875
7,8,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024,Edge,7.0,1.4.0,2023-09-06 14:54:20.039000-04:00,0.8564453125
7,10,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024,Edge,7.0,1.4.0,2023-09-06 14:54:20.039000-04:00,0.8828125
7,12,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024,Edge,7.0,1.4.0,2023-09-06 14:54:20.039000-04:00,0.85546875
8,9,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024,Edge,7.0,1.4.0,2023-09-06 14:54:20.039000-04:00,0.8779296875
