va,vb,ca,cb,win,n,job,backend,shots
0,0,0,0,1,200,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
0,0,1,0,0,19,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
0,0,2,0,0,35,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
0,0,3,0,0,12,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
0,0,0,1,0,38,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
0,0,1,1,1,132,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
0,0,2,1,0,18,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
0,0,3,1,0,76,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
0,0,0,2,0,36,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
0,0,1,2,0,17,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
0,0,2,2,1,174,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
0,0,3,2,0,21,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
0,0,0,3,0,15,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
0,0,1,3,0,47,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
0,0,2,3,0,38,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
0,0,3,3,1,146,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
1,1,0,0,1,165,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
1,1,1,0,0,47,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
1,1,2,0,0,42,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
1,1,3,0,0,15,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
1,1,0,1,0,43,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
1,1,1,1,1,194,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
1,1,2,1,0,28,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
1,1,3,1,0,30,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
1,1,0,2,0,26,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
1,1,1,2,0,12,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
1,1,2,2,1,186,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
1,1,3,2,0,43,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
1,1,0,3,0,14,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
1,1,1,3,0,22,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
1,1,2,3,0,38,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
1,1,3,3,1,119,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
2,2,0,0,1,171,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
2,2,1,0,0,38,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
2,2,2,0,0,59,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
2,2,3,0,0,9,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
2,2,0,1,0,37,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
2,2,1,1,1,172,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
2,2,2,1,0,27,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
2,2,3,1,0,35,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
2,2,0,2,0,57,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
2,2,1,2,0,17,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
2,2,2,2,1,155,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
2,2,3,2,0,19,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
2,2,0,3,0,13,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
2,2,1,3,0,23,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
2,2,2,3,0,25,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
2,2,3,3,1,167,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
3,3,0,0,1,210,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
3,3,1,0,0,19,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
3,3,2,0,0,29,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
3,3,3,0,0,17,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
3,3,0,1,0,45,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
3,3,1,1,1,168,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
3,3,2,1,0,45,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
3,3,3,1,0,38,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
3,3,0,2,0,27,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
3,3,1,2,0,29,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
3,3,2,2,1,133,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
3,3,3,2,0,34,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
3,3,0,3,0,12,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
3,3,1,3,0,38,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
3,3,2,3,0,41,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
3,3,3,3,1,139,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
4,4,0,0,1,165,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
4,4,1,0,0,20,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
4,4,2,0,0,42,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
4,4,3,0,0,16,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
4,4,0,1,0,29,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
4,4,1,1,1,188,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
4,4,2,1,0,35,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
4,4,3,1,0,19,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
4,4,0,2,0,43,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
4,4,1,2,0,35,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
4,4,2,2,1,167,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
4,4,3,2,0,17,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
4,4,0,3,0,25,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
4,4,1,3,0,22,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
4,4,2,3,0,40,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
4,4,3,3,1,161,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
5,5,0,0,1,173,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
5,5,1,0,0,52,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
5,5,2,0,0,23,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
5,5,3,0,0,16,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
5,5,0,1,0,47,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
5,5,1,1,1,142,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
5,5,2,1,0,20,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
5,5,3,1,0,25,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
5,5,0,2,0,38,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
5,5,1,2,0,21,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
5,5,2,2,1,133,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
5,5,3,2,0,49,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
5,5,0,3,0,39,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
5,5,1,3,0,34,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
5,5,2,3,0,32,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
5,5,3,3,1,180,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
6,6,0,0,1,159,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
6,6,1,0,0,39,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
6,6,2,0,0,33,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
6,6,3,0,0,22,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
6,6,0,1,0,42,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
6,6,1,1,1,186,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
6,6,2,1,0,11,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
6,6,3,1,0,52,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
6,6,0,2,0,33,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
6,6,1,2,0,17,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
6,6,2,2,1,139,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
6,6,3,2,0,39,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
6,6,0,3,0,15,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
