va,vb,ca,cb,n
0,0,0,0,519
0,0,1,1,505
1,1,2,2,519
1,1,3,3,505
2,2,0,0,519
2,2,1,1,505
3,3,2,2,519
3,3,3,3,505
4,4,0,0,519
4,4,1,1,505
5,5,0,0,519
5,5,1,1,505
6,6,0,0,519
6,6,1,1,505
7,7,0,0,519
7,7,1,1,505
8,8,2,2,519
8,8,3,3,505
9,9,0,0,519
9,9,1,1,505
10,10,0,0,519
10,10,1,1,505
11,11,0,0,519
11,11,1,1,505
12,12,2,2,519
12,12,3,3,505
13,13,2,2,519
13,13,3,3,505
0,1,1,3,185
0,1,0,2,223
0,1,0,3,296
0,1,1,2,320
0,2,0,0,37
0,2,1,1,28
0,2,0,1,482
0,2,1,0,477
0,4,0,0,37
0,4,1,1,28
0,4,0,1,482
0,4,1,0,477
0,3,1,3,185
0,3,0,2,223
0,3,0,3,296
0,3,1,2,320
1,2,2,0,222
1,2,2,1,297
1,2,3,1,185
1,2,3,0,320
1,5,2,1,519
1,5,3,0,505
1,6,2,0,519
1,6,3,1,505
2,7,0,0,37
2,7,1,1,28
2,7,0,1,482
2,7,1,0,477
2,8,1,3,185
2,8,0,2,222
2,8,0,3,297
2,8,1,2,320
3,4,2,0,429
3,4,2,1,90
3,4,3,0,109
3,4,3,1,396
3,10,2,0,36
3,10,2,1,483
3,10,3,1,28
3,10,3,0,477
3,11,2,0,519
3,11,3,1,505
4,12,0,2,429
4,12,0,3,90
4,12,1,2,109
4,12,1,3,396
4,9,0,0,37
4,9,1,1,28
4,9,0,1,482
4,9,1,0,477
5,6,0,1,519
5,6,1,0,505
5,11,0,1,519
5,11,1,0,505
5,12,0,3,519
5,12,1,2,505
6,9,0,0,37
6,9,1,1,28
6,9,0,1,482
6,9,1,0,477
6,10,0,0,37
6,10,1,1,28
6,10,0,1,482
6,10,1,0,477
7,8,0,2,430
7,8,0,3,89
7,8,1,2,109
7,8,1,3,396
7,10,0,0,37
7,10,1,1,28
7,10,0,1,482
7,10,1,0,477
7,12,0,2,430
7,12,0,3,89
7,12,1,2,109
7,12,1,3,396
8,9,2,0,37
8,9,2,1,482
8,9,3,1,28
8,9,3,0,477
8,11,2,0,519
8,11,3,1,505
13,0,2,0,330
13,0,2,1,189
13,0,3,0,200
13,0,3,1,305
13,1,2,3,519
13,1,3,2,505
13,2,2,0,330
13,2,2,1,189
13,2,3,0,199
13,2,3,1,306
13,3,2,3,519
13,3,3,2,505
13,4,2,0,125
13,4,2,1,394
13,4,3,1,85
13,4,3,0,420
13,5,2,0,519
13,5,3,1,505
13,6,2,1,519
13,6,3,0,505
13,7,2,0,124
13,7,2,1,395
13,7,3,1,85
13,7,3,0,420
13,8,2,3,519
13,8,3,2,505
13,9,2,0,495
13,9,2,1,24
13,9,3,0,28
13,9,3,1,477
13,10,2,0,495
13,10,2,1,24
13,10,3,0,28
13,10,3,1,477
13,11,2,1,519
13,11,3,0,505
13,12,2,3,519
13,12,3,2,505
1,0,2,0,223
1,0,2,1,296
1,0,3,1,185
1,0,3,0,320
2,0,0,0,37
2,0,1,1,28
2,0,0,1,482
2,0,1,0,477
4,0,0,0,37
4,0,1,1,28
4,0,0,1,482
4,0,1,0,477
3,0,2,0,223
3,0,2,1,296
3,0,3,1,185
3,0,3,0,320
2,1,1,3,185
2,1,0,2,222
2,1,0,3,297
2,1,1,2,320
5,1,0,3,519
5,1,1,2,505
6,1,0,2,519
6,1,1,3,505
7,2,0,0,37
7,2,1,1,28
7,2,0,1,482
7,2,1,0,477
8,2,2,0,222
8,2,2,1,297
8,2,3,1,185
8,2,3,0,320
4,3,0,2,429
4,3,0,3,90
4,3,1,2,109
4,3,1,3,396
10,3,1,3,28
10,3,0,2,36
10,3,0,3,483
10,3,1,2,477
11,3,0,2,519
11,3,1,3,505
12,4,2,0,429
12,4,2,1,90
12,4,3,0,109
12,4,3,1,396
9,4,0,0,37
9,4,1,1,28
9,4,0,1,482
9,4,1,0,477
6,5,0,1,519
6,5,1,0,505
11,5,0,1,519
11,5,1,0,505
12,5,2,1,519
12,5,3,0,505
9,6,0,0,37
9,6,1,1,28
9,6,0,1,482
9,6,1,0,477
10,6,0,0,37
10,6,1,1,28
10,6,0,1,482
10,6,1,0,477
8,7,2,0,430
8,7,2,1,89
8,7,3,0,109
8,7,3,1,396
10,7,0,0,37
10,7,1,1,28
10,7,0,1,482
10,7,1,0,477
12,7,2,0,430
12,7,2,1,89
12,7,3,0,109
12,7,3,1,396
9,8,1,3,28
9,8,0,2,37
9,8,0,3,482
9,8,1,2,477
11,8,0,2,519
11,8,1,3,505
0,13,0,2,330
0,13,0,3,189
0,13,1,2,200
0,13,1,3,305
1,13,2,3,519
1,13,3,2,505
2,13,0,2,330
2,13,0,3,189
2,13,1,2,199
2,13,1,3,306
3,13,2,3,519
3,13,3,2,505
4,13,1,3,85
4,13,0,2,125
4,13,0,3,394
4,13,1,2,420
5,13,0,2,519
5,13,1,3,505
6,13,0,3,519
6,13,1,2,505
7,13,1,3,85
7,13,0,2,124
7,13,0,3,395
7,13,1,2,420
8,13,2,3,519
8,13,3,2,505
9,13,1,2,28
9,13,0,2,495
9,13,0,3,24
9,13,1,3,477
10,13,1,2,28
10,13,0,2,495
10,13,0,3,24
10,13,1,3,477
11,13,0,3,519
11,13,1,2,505
12,13,2,3,519
12,13,3,2,505
