va,vb,ca,cb,n
0,0,1,3,5
0,0,2,0,18
0,0,0,0,16
0,0,1,1,27
0,0,2,3,84
0,0,3,3,1
0,0,1,0,168
0,0,1,2,294
0,0,0,3,169
0,0,3,1,18
0,0,3,0,80
0,0,3,2,144
1,1,1,3,11
1,1,1,0,104
1,1,0,2,6
1,1,0,3,26
1,1,1,2,169
1,1,0,0,30
1,1,1,1,30
1,1,0,1,648
2,2,2,0,1
2,2,0,0,2
2,2,0,3,9
2,2,2,3,6
2,2,1,3,18
2,2,1,0,297
2,2,3,3,14
2,2,0,1,163
2,2,3,2,50
2,2,3,0,254
2,2,3,1,8
2,2,2,1,95
2,2,0,2,27
2,2,1,1,7
2,2,1,2,60
2,2,2,2,13
3,3,2,3,5
3,3,0,1,35
3,3,0,3,1
3,3,0,2,5
3,3,1,2,73
3,3,1,0,25
3,3,3,3,36
3,3,1,3,10
3,3,2,1,242
3,3,2,2,40
3,3,3,0,233
3,3,3,2,319
4,4,1,3,11
4,4,1,0,104
4,4,0,2,6
4,4,0,3,26
4,4,1,2,169
4,4,0,0,30
4,4,1,1,30
4,4,0,1,648
5,5,1,2,1
5,5,0,2,1
5,5,2,0,4
5,5,2,3,89
5,5,2,1,198
5,5,3,3,37
5,5,2,2,24
5,5,3,1,4
5,5,3,0,26
5,5,3,2,640
6,6,1,3,7
6,6,0,0,19
6,6,0,2,7
6,6,0,3,151
6,6,1,2,47
6,6,1,0,648
6,6,1,1,47
6,6,0,1,98
7,7,0,0,2
7,7,1,3,4
7,7,3,2,516
7,7,3,0,24
7,7,3,1,25
7,7,0,3,49
7,7,3,3,16
7,7,1,0,4
7,7,2,3,151
7,7,1,2,144
7,7,1,1,6
7,7,0,1,11
7,7,2,1,48
7,7,2,2,8
7,7,2,0,16
8,8,1,3,11
8,8,1,0,104
8,8,0,2,6
8,8,0,3,26
8,8,1,2,169
8,8,0,0,30
8,8,1,1,30
8,8,0,1,648
9,9,1,2,1
9,9,0,2,1
9,9,2,0,4
9,9,2,3,89
9,9,2,1,198
9,9,3,3,37
9,9,2,2,24
9,9,3,1,4
9,9,3,0,26
9,9,3,2,640
10,10,1,3,11
10,10,1,0,104
10,10,0,2,6
10,10,0,3,26
10,10,1,2,169
10,10,0,0,30
10,10,1,1,30
10,10,0,1,648
11,11,1,3,1
11,11,0,3,204
11,11,3,2,3
11,11,3,0,19
11,11,3,1,3
11,11,1,0,534
11,11,1,2,116
11,11,1,1,60
11,11,2,3,7
11,11,0,0,22
11,11,2,0,4
11,11,0,1,45
11,11,0,2,3
11,11,2,1,3
12,12,3,3,1
12,12,0,1,141
12,12,1,0,639
12,12,1,3,12
12,12,0,3,92
12,12,2,1,10
12,12,0,2,17
12,12,1,1,37
12,12,2,3,7
12,12,3,1,1
12,12,3,0,54
12,12,0,0,11
12,12,2,0,1
12,12,2,2,1
13,13,0,2,1
13,13,2,0,3
13,13,2,1,45
13,13,3,3,26
13,13,3,1,9
13,13,3,2,91
13,13,3,0,175
13,13,2,2,40
13,13,2,3,634
0,1,0,3,4
0,1,0,1,26
0,1,3,1,221
0,1,3,0,15
0,1,3,2,2
0,1,1,2,4
0,1,1,1,422
0,1,2,3,3
0,1,0,0,50
0,1,2,0,42
0,1,2,2,61
0,1,1,0,27
0,1,3,3,11
0,1,0,2,108
0,1,2,1,9
0,1,1,3,19
0,2,0,0,2
0,2,2,3,4
0,2,0,1,178
0,2,1,3,20
0,2,1,0,337
0,2,3,3,13
0,2,2,1,79
0,2,0,2,30
0,2,0,3,10
0,2,3,2,42
0,2,3,0,215
0,2,3,1,8
0,2,1,2,66
0,2,1,1,8
0,2,2,2,12
0,4,0,3,4
0,4,0,1,26
0,4,3,1,221
0,4,3,0,15
0,4,3,2,2
0,4,1,2,4
0,4,1,1,422
0,4,2,3,3
0,4,0,0,50
0,4,2,0,42
0,4,2,2,61
0,4,1,0,27
0,4,3,3,11
0,4,0,2,108
0,4,2,1,9
0,4,1,3,19
0,3,1,1,1
0,3,2,3,4
0,3,1,3,27
0,3,2,1,106
0,3,2,2,25
0,3,0,1,170
0,3,3,3,15
0,3,1,0,165
0,3,3,2,126
0,3,3,0,93
0,3,0,3,6
0,3,0,2,37
0,3,1,2,249
1,2,3,1,1
1,2,0,1,18
1,2,1,0,12
1,2,1,3,14
1,2,0,3,33
1,2,1,2,38
1,2,0,2,112
1,2,2,0,1
1,2,0,0,541
1,2,1,1,254
1,5,0,0,21
1,5,1,1,192
1,5,0,1,10
1,5,1,3,86
1,5,1,0,9
1,5,0,3,40
1,5,1,2,27
1,5,0,2,639
1,6,1,3,146
