va,vb,win_rate
0,0,0.060546875
0,1,0.46484375
0,2,0.95703125
0,3,0.962890625
0,4,0.48828125
0,13,0.62890625
1,0,0.7724609375
1,1,0.080078125
1,2,0.2314453125
1,5,0.796875
1,6,0.2802734375
1,13,0.98046875
2,0,0.955078125
2,1,0.515625
2,2,0.0439453125
2,7,0.951171875
2,8,0.5048828125
2,13,0.6064453125
3,0,0.9833984375
3,3,0.078125
3,4,0.712890625
3,10,0.72265625
3,11,0.9755859375
3,13,0.3603515625
4,0,0.748046875
4,3,0.474609375
4,4,0.0830078125
4,9,0.7841796875
4,12,0.2353515625
4,13,0.9853515625
5,1,0.7919921875
5,5,0.076171875
5,6,0.986328125
5,11,0.9912109375
5,12,0.95703125
5,13,0.3017578125
6,1,0.2890625
6,5,0.9853515625
6,6,0.0791015625
6,9,0.9775390625
6,10,0.3056640625
6,13,0.7822265625
7,2,0.9384765625
7,7,0.041015625
7,8,0.6806640625
7,10,0.6904296875
7,12,0.9599609375
7,13,0.4248046875
8,2,0.21484375
8,7,0.9091796875
8,8,0.08203125
8,9,0.7939453125
8,11,0.4541015625
8,13,0.982421875
9,4,0.7783203125
9,6,0.982421875
9,8,0.7958984375
9,9,0.0751953125
9,13,0.3017578125
10,3,0.5009765625
10,6,0.3115234375
10,7,0.9013671875
10,10,0.07421875
10,13,0.98046875
11,3,0.9951171875
11,5,0.9833984375
11,8,0.33203125
11,11,0.0888671875
11,13,0.765625
12,4,0.3408203125
12,5,0.9716796875
12,7,0.943359375
12,12,0.0654296875
12,13,0.7626953125
13,0,0.359375
13,1,0.9853515625
13,2,0.880859375
13,3,0.607421875
13,4,0.9755859375
13,5,0.3037109375
13,6,0.798828125
13,7,0.181640625
13,8,0.9853515625
13,9,0.310546875
13,10,0.9833984375
13,11,0.6689453125
13,12,0.873046875
13,13,0.060546875
