p_err,va,vb,pcc,p_win
0.0001,0,0,1.0,1.0
0.0001,1,1,0.998046875,0.998046875
0.0001,2,2,0.9990234375,0.9990234375
0.0001,3,3,0.99609375,0.99609375
0.0001,4,4,0.9990234375,0.9990234375
0.0001,5,5,0.9990234375,0.9990234375
0.0001,6,6,0.9990234375,0.9990234375
0.0001,7,7,0.9990234375,0.9990234375
0.0001,8,8,1.0,1.0
0.0001,9,9,0.994140625,0.994140625
0.0001,10,10,0.998046875,0.998046875
0.0001,11,11,0.998046875,0.998046875
0.0001,12,12,0.9970703125,0.9970703125
0.0001,13,13,0.998046875,0.998046875
0.0001,0,1,0.0,1.0
0.0001,0,2,0.0,1.0
0.0001,0,4,0.0009765625,0.9990234375
0.0001,0,3,0.0,1.0
0.0001,1,2,0.0009765625,0.9990234375
0.0001,1,5,0.0009765625,0.9990234375
0.0001,1,6,0.0,1.0
0.0001,2,7,0.0029296875,0.9970703125
0.0001,2,8,0.0,1.0
0.0001,3,4,0.0009765625,0.9990234375
0.0001,3,10,0.0009765625,0.9990234375
0.0001,3,11,0.0009765625,0.9990234375
0.0001,4,12,0.001953125,0.998046875
0.0001,4,9,0.001953125,0.998046875
0.0001,5,6,0.0,1.0
0.0001,5,11,0.001953125,0.998046875
0.0001,5,12,0.0,1.0
0.0001,6,9,0.0,1.0
0.0001,6,10,0.0009765625,0.9990234375
0.0001,7,8,0.001953125,0.998046875
0.0001,7,10,0.001953125,0.998046875
0.0001,7,12,0.0009765625,0.9990234375
0.0001,8,9,0.0009765625,0.9990234375
0.0001,8,11,0.0009765625,0.9990234375
0.0001,13,0,0.0,1.0
0.0001,13,1,0.0,1.0
0.0001,13,2,0.001953125,0.998046875
0.0001,13,3,0.0009765625,0.9990234375
0.0001,13,4,0.0,1.0
0.0001,13,5,0.0009765625,0.9990234375
0.0001,13,6,0.0,1.0
0.0001,13,7,0.0,1.0
0.0001,13,8,0.0009765625,0.9990234375
0.0001,13,9,0.0,1.0
0.0001,13,10,0.0,1.0
0.0001,13,11,0.0,1.0
0.0001,13,12,0.0,1.0
0.0001,1,0,0.0,1.0
0.0001,2,0,0.0009765625,0.9990234375
0.0001,4,0,0.0,1.0
0.0001,3,0,0.001953125,0.998046875
0.0001,2,1,0.0,1.0
0.0001,5,1,0.0,1.0
0.0001,6,1,0.0009765625,0.9990234375
0.0001,7,2,0.0009765625,0.9990234375
0.0001,8,2,0.0,1.0
0.0001,4,3,0.0009765625,0.9990234375
0.0001,10,3,0.00390625,0.99609375
0.0001,11,3,0.0009765625,0.9990234375
0.0001,12,4,0.0,1.0
0.0001,9,4,0.0009765625,0.9990234375
0.0001,6,5,0.0,1.0
0.0001,11,5,0.001953125,0.998046875
0.0001,12,5,0.0,1.0
0.0001,9,6,0.0,1.0
0.0001,10,6,0.0,1.0
0.0001,8,7,0.001953125,0.998046875
0.0001,10,7,0.0009765625,0.9990234375
0.0001,12,7,0.001953125,0.998046875
0.0001,9,8,0.0009765625,0.9990234375
0.0001,11,8,0.0,1.0
0.0001,0,13,0.0,1.0
0.0001,1,13,0.0,1.0
0.0001,2,13,0.001953125,0.998046875
0.0001,3,13,0.0,1.0
0.0001,4,13,0.0,1.0
0.0001,5,13,0.0029296875,0.9970703125
0.0001,6,13,0.0,1.0
0.0001,7,13,0.0,1.0
0.0001,8,13,0.0009765625,0.9990234375
0.0001,9,13,0.0009765625,0.9990234375
0.0001,10,13,0.0,1.0
0.0001,11,13,0.0,1.0
0.0001,12,13,0.0,1.0
0.00017782794100389227,0,0,0.998046875,0.998046875
0.00017782794100389227,1,1,0.998046875,0.998046875
0.00017782794100389227,2,2,0.9990234375,0.9990234375
0.00017782794100389227,3,3,0.9951171875,0.9951171875
0.00017782794100389227,4,4,0.9970703125,0.9970703125
0.00017782794100389227,5,5,0.99609375,0.99609375
0.00017782794100389227,6,6,0.9951171875,0.9951171875
0.00017782794100389227,7,7,0.9990234375,0.9990234375
0.00017782794100389227,8,8,0.9951171875,0.9951171875
0.00017782794100389227,9,9,0.9951171875,0.9951171875
0.00017782794100389227,10,10,0.998046875,0.998046875
0.00017782794100389227,11,11,1.0,1.0
0.00017782794100389227,12,12,0.998046875,0.998046875
