va,vb,noise_factor,obs_value,obs_var,extrapolated_value
0,0,1,0.873046875,0.05634164810180664,0.9428710937500002
0,0,2,0.5078125,0.12710332870483398,0.9428710937500002
0,0,3,0.9765625,0.011508464813232422,0.9428710937500002
0,0,4,0.9814453125,0.009145259857177734,0.9428710937500002
0,0,5,0.2666015625,0.18689489364624023,0.9428710937500002
0,1,1,0.951171875,0.023519039154052734,0.8086914062500005
0,1,2,0.97265625,0.01338815689086914,0.8086914062500005
0,1,3,0.2529296875,0.18746232986450195,0.8086914062500005
0,1,4,0.9736328125,0.012919902801513672,0.8086914062500005
0,1,5,0.9794921875,0.010100364685058594,0.8086914062500005
0,2,1,0.97265625,0.013387203216552734,0.8536132812500004
0,2,2,0.953125,0.022475719451904297,0.8536132812500004
0,2,3,0.4443359375,0.1279597282409668,0.8536132812500004
0,2,4,0.9814453125,0.009148120880126953,0.8536132812500004
0,2,5,0.9794921875,0.010076045989990234,0.8536132812500004
0,3,1,0.978515625,0.010557174682617188,0.65068359375
0,3,2,0.51171875,0.12796735763549805,0.65068359375
0,3,3,0.505859375,0.12594223022460938,0.65068359375
0,3,4,0.9736328125,0.01292276382446289,0.65068359375
0,3,5,0.9794921875,0.01009511947631836,0.65068359375
0,4,1,0.9716796875,0.013858318328857422,1.0388671875
0,4,2,0.9716796875,0.013865470886230469,1.0388671875
0,4,3,0.0771484375,0.16725635528564453,1.0388671875
0,4,4,0.9794921875,0.010096073150634766,1.0388671875
0,4,5,0.3544921875,0.12056255340576172,1.0388671875
0,13,1,0.4970703125,0.12717580795288086,0.4970703125
0,13,2,0.984375,0.0077190399169921875,0.4970703125
0,13,3,0.494140625,0.1264514923095703,0.4970703125
0,13,4,0.986328125,0.006763935089111328,0.4970703125
0,13,5,0.982421875,0.008672714233398438,0.4970703125
1,0,1,0.96875,0.015254497528076172,1.1510742187500003
1,0,2,0.9775390625,0.011035442352294922,1.1510742187500003
1,0,3,0.9697265625,0.014772891998291016,1.1510742187500003
1,0,4,0.984375,0.00771331787109375,1.1510742187500003
1,0,5,0.5205078125,0.12754583358764648,1.1510742187500003
1,1,1,0.9794921875,0.010093212127685547,0.8880859375
1,1,2,0.9716796875,0.01385641098022461,0.8880859375
1,1,3,0.5263671875,0.12759828567504883,0.8880859375
1,1,4,0.9755859375,0.011983394622802734,0.8880859375
1,1,5,0.97265625,0.013383865356445312,0.8880859375
1,2,1,0.96875,0.015256881713867188,1.2514648437500002
1,2,2,0.974609375,0.012453079223632812,1.2514648437500002
1,2,3,0.5078125,0.1273365020751953,1.2514648437500002
1,2,4,0.0966796875,0.16150140762329102,1.2514648437500002
1,2,5,0.2568359375,0.18703031539916992,1.2514648437500002
1,5,1,0.9794921875,0.010096073150634766,0.7599609375
1,5,2,0.2373046875,0.1872258186340332,0.7599609375
1,5,3,0.0615234375,0.1544661521911621,0.7599609375
1,5,4,0.5029296875,0.12738704681396484,0.7599609375
1,5,5,0.2607421875,0.1874251365661621,0.7599609375
1,6,1,0.5087890625,0.1282486915588379,0.6553710937500004
1,6,2,0.970703125,0.01431894302368164,0.6553710937500004
1,6,3,0.876953125,0.05429649353027344,0.6553710937500004
1,6,4,0.2412109375,0.18736982345581055,0.6553710937500004
1,6,5,0.970703125,0.014326095581054688,0.6553710937500004
1,13,1,0.08203125,0.04426717758178711,0.3455078125
1,13,2,0.94921875,0.024301528930664062,0.3455078125
1,13,3,0.982421875,0.00867605209350586,0.3455078125
1,13,4,0.021484375,0.08762741088867188,0.3455078125
1,13,5,0.97265625,0.01338958740234375,0.3455078125
2,0,1,0.46875,0.12881708145141602,0.5536132812499999
2,0,2,0.94921875,0.024432659149169922,0.5536132812499999
2,0,3,0.9755859375,0.011977672576904297,0.5536132812499999
2,0,4,0.9853515625,0.007243633270263672,0.5536132812499999
2,0,5,0.9814453125,0.009147167205810547,0.5536132812499999
2,1,1,0.5,0.12692975997924805,0.501953125
2,1,2,0.978515625,0.010568618774414062,0.501953125
2,1,3,0.5078125,0.12803220748901367,0.501953125
2,1,4,0.978515625,0.010567188262939453,0.501953125
2,1,5,0.9775390625,0.011038780212402344,0.501953125
2,2,1,0.501953125,0.12833261489868164,0.6720703124999999
2,2,2,0.978515625,0.010568618774414062,0.6720703124999999
2,2,3,0.98046875,0.009614944458007812,0.6720703124999999
2,2,4,0.25390625,0.18739891052246094,0.6720703124999999
2,2,5,0.9736328125,0.012921810150146484,0.6720703124999999
2,7,1,0.9833984375,0.008196353912353516,1.3488281250000003
2,7,2,0.9814453125,0.009145259857177734,1.3488281250000003
2,7,3,0.9638671875,0.01758718490600586,1.3488281250000003
2,7,4,0.2216796875,0.18723011016845703,1.3488281250000003
2,7,5,0.248046875,0.1872859001159668,1.3488281250000003
2,8,1,0.9755859375,0.011977672576904297,0.67734375
2,8,2,0.275390625,0.18726301193237305,0.67734375
2,8,3,0.9736328125,0.01292276382446289,0.67734375
2,8,4,0.45703125,0.1266922950744629,0.67734375
2,8,5,0.974609375,0.01246023178100586,0.67734375
2,13,1,0.873046875,0.05582857131958008,0.39257812499999967
2,13,2,0.26171875,0.18712806701660156,0.39257812499999967
2,13,3,0.251953125,0.18747186660766602,0.39257812499999967
2,13,4,0.9765625,0.011500835418701172,0.39257812499999967
2,13,5,0.9736328125,0.012917041778564453,0.39257812499999967
3,0,1,0.267578125,0.18692445755004883,0.510546875
3,0,2,0.9794921875,0.010081768035888672,0.510546875
3,0,3,0.484375,0.1285710334777832,0.510546875
