va,vb,noise_factor,obs_value,obs_var,extrapolated_value
0,0,1,0.48828125,0.12930870056152344,0.5366210937499998
0,0,2,0.884765625,0.051593780517578125,0.5366210937499998
0,0,3,0.93359375,0.03157472610473633,0.5366210937499998
0,0,4,0.9716796875,0.013816356658935547,0.5366210937499998
0,0,5,0.96484375,0.017102718353271484,0.5366210937499998
0,1,1,0.9150390625,0.039759159088134766,1.0930664062500002
0,1,2,0.9306640625,0.03260183334350586,1.0930664062500002
0,1,3,0.9677734375,0.015703678131103516,1.0930664062500002
0,1,4,0.962890625,0.017944812774658203,1.0930664062500002
0,1,5,0.50390625,0.13013648986816406,1.0930664062500002
0,2,1,0.958984375,0.019853591918945312,0.9468749999999998
0,2,2,0.9384765625,0.02924966812133789,0.9468749999999998
0,2,3,0.9677734375,0.015714168548583984,0.9468749999999998
0,2,4,0.9677734375,0.015707969665527344,0.9468749999999998
0,2,5,0.9658203125,0.016624927520751953,0.9468749999999998
0,3,1,0.9580078125,0.02033710479736328,0.5744140624999996
0,3,2,0.0576171875,0.16875314712524414,0.5744140624999996
0,3,3,0.966796875,0.01615762710571289,0.5744140624999996
0,3,4,0.2666015625,0.18730783462524414,0.5744140624999996
0,3,5,0.96875,0.015241622924804688,0.5744140624999996
0,4,1,0.9296875,0.03328514099121094,0.5514648437500003
0,4,2,0.2314453125,0.18719005584716797,0.5514648437500003
0,4,3,0.8916015625,0.049468040466308594,0.5514648437500003
0,4,4,0.96484375,0.017117023468017578,0.5514648437500003
0,4,5,0.974609375,0.012436389923095703,0.5514648437500003
0,13,1,0.9560546875,0.021173954010009766,0.9475585937499996
0,13,2,0.9423828125,0.02755594253540039,0.9475585937499996
0,13,3,0.9580078125,0.02033710479736328,0.9475585937499996
0,13,4,0.97265625,0.013391971588134766,0.9475585937499996
0,13,5,0.95703125,0.020734310150146484,0.9475585937499996
1,0,1,0.9375,0.029613018035888672,1.1587890625000001
1,0,2,0.94140625,0.027997970581054688,1.1587890625000001
1,0,3,0.970703125,0.01431894302368164,1.1587890625000001
1,0,4,0.509765625,0.13003778457641602,1.1587890625000001
1,0,5,0.5126953125,0.12930822372436523,1.1587890625000001
1,1,1,0.921875,0.03667783737182617,0.8957031250000002
1,1,2,0.8955078125,0.0472569465637207,0.8957031250000002
1,1,3,0.951171875,0.02346181869506836,0.8957031250000002
1,1,4,0.9697265625,0.01479196548461914,0.8957031250000002
