va,vb,noise_factor,obs_value,obs_var,extrapolated_value
0,0,1,0.9482421875,0.024831295013427734,0.9580078124999994
0,0,2,0.97265625,0.01337432861328125,0.9580078124999994
0,0,3,0.9775390625,0.011040210723876953,0.9580078124999994
0,0,4,0.953125,0.022565841674804688,0.9580078124999994
1,1,1,0.9599609375,0.019397258758544922,0.96728515625
1,1,2,0.974609375,0.012451648712158203,0.96728515625
1,1,3,0.2431640625,0.1872854232788086,0.96728515625
1,1,4,0.9599609375,0.019375324249267578,0.96728515625
2,2,1,0.9501953125,0.023968219757080078,0.9526367187499999
2,2,2,0.9619140625,0.01846456527709961,0.9526367187499999
2,2,3,0.8955078125,0.0480198860168457,0.9526367187499999
2,2,4,0.95703125,0.020761489868164062,0.9526367187499999
3,3,1,0.857421875,0.0632634162902832,0.6293945312499999
3,3,2,0.490234375,0.13277673721313477,0.6293945312499999
3,3,3,0.953125,0.022555828094482422,0.6293945312499999
3,3,4,0.9462890625,0.02565908432006836,0.6293945312499999
4,4,1,0.9814453125,0.009148120880126953,0.98388671875
4,4,2,0.953125,0.022555828094482422,0.98388671875
4,4,3,0.2763671875,0.18721532821655273,0.98388671875
4,4,4,0.9482421875,0.024838924407958984,0.98388671875
5,5,1,0.888671875,0.05092287063598633,1.17529296875
5,5,2,0.8525390625,0.06628704071044922,1.17529296875
5,5,3,0.982421875,0.008656024932861328,1.17529296875
5,5,4,0.279296875,0.18683576583862305,1.17529296875
6,6,1,0.98046875,0.009614944458007812,1.2128906249999996
6,6,2,0.9775390625,0.01103830337524414,1.2128906249999996
6,6,3,0.845703125,0.06903505325317383,1.2128906249999996
6,6,4,0.5126953125,0.13259410858154297,1.2128906249999996
7,7,1,0.4970703125,0.12859773635864258,0.25341796874999983
7,7,2,0.455078125,0.14564275741577148,0.25341796874999983
7,7,3,0.982421875,0.008671283721923828,0.25341796874999983
7,7,4,0.9423828125,0.02749013900756836,0.25341796874999983
8,8,1,0.884765625,0.05183601379394531,0.52880859375
8,8,2,0.2421875,0.1874556541442871,0.52880859375
8,8,3,0.978515625,0.010557174682617188,0.52880859375
8,8,4,0.9541015625,0.022106647491455078,0.52880859375
9,9,1,0.9609375,0.018911361694335938,0.9736328124999999
9,9,2,0.9609375,0.018901348114013672,0.9736328124999999
9,9,3,0.94921875,0.024353504180908203,0.9736328124999999
9,9,4,0.935546875,0.030530929565429688,0.9736328124999999
10,10,1,0.2314453125,0.18695878982543945,0.21972656249999994
10,10,2,0.9404296875,0.02837514877319336,0.21972656249999994
